SRR33750937.876__1.866	UniRef90_A0A1Q7B3L9|1__5|SGB56640
SRR33750937.980780__1.968247	UniClust90_LLIEHLNH00543|1__8|SGB130007
SRR33750937.981168__1.968627	UniClust90_DLOKBJPP00273|1__7|SGB131913
SRR33750937.981650__1.969100	UniClust90_EJAHAFID00710|1__7|SGB130007
SRR33750937.982104__1.969547	UniClust90_JHNMEHIJ03596|2__6|SGB56640
SRR33750937.982316__1.969757	UniClust90_IOFPBIHC02624|1__8|SGB130007
SRR33750937.983143__1.970574	UniClust90_NLMPKCAO05376|1__5|SGB73718
SRR33750937.984729__1.972142	UniRef90_UPI0002DDD2F3|1__10|SGB33942
SRR33750937.988334__1.975713	UniClust90_JMFJJCJA04939|1__9|SGB130007
SRR33750937.987898__1.975281	UniClust90_PKCJLHDA01307|1__12|SGB89408
SRR33750937.988611__1.975987	UniClust90_IOFPBIHC03293|1__8|SGB130007
SRR33750937.988702__1.976078	UniClust90_CBDIOHJF00241|1__7|SGB89725
SRR33750937.988839__1.976212	UniClust90_DLOKBJPP01402|1__6|SGB131913
SRR33750937.989255__1.976623	UniRef90_A0A2V6RUV2|1__6|SGB24057
SRR33750937.989654__1.977016	UniClust90_OGHHNLAC01471|1__6|SGB56638
SRR33750937.992542__1.979864	UniClust90_OPLEJCPF04706|1__9|SGB125949
SRR33750937.992713__1.980033	UniClust90_IOFPBIHC03176|1__8|SGB130007
SRR33750937.993746__1.981049	UniClust90_CHMIEHDJ00800|1__7|SGB56640
SRR33750937.994654__1.981944	UniClust90_LAIOJIGH03518|1__9|SGB122683
SRR33750937.995380__1.982660	UniRef90_A0A2V5KWV3|11__17|SGB52720
SRR33750937.996556__1.983823	UniClust90_OJFAJFEC01800|1__3|SGB89423
SRR33750937.996223__1.983493	UniClust90_IMMCPGKG02094|1__14|SGB128778
SRR33750937.997024__1.984283	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750937.997173__1.984430	UniClust90_DIBLBONP01237|1__4|SGB84078
SRR33750937.997600__1.984854	UniRef90_A0A0R3E6K9|1__7|SGB11301
SRR33750937.999256__1.986497	UniClust90_IBMDDACE00584|7__22|SGB128778
SRR33750937.1000771__1.987991	UniClust90_ANNLAACJ09210|1__14|SGB110998
SRR33750937.1000913__1.988130	UniClust90_IMMCPGKG02024|1__20|SGB128778
SRR33750937.1001905__1.989113	UniRef90_A0A1A3CP24|1__9|SGB15591
SRR33750937.1002852__1.990050	UniClust90_BOKHIPMC03210|1__11|SGB130007
SRR33750937.1003526__1.990715	UniClust90_JMFJJCJA01029|1__6|SGB130007
SRR33750937.1004102__1.991282	UniClust90_JMFJJCJA01157|1__6|SGB130007
SRR33750937.1005902__1.993065	UniClust90_FCPCIAOJ02757|1__5|SGB56638
SRR33750937.1005962__1.993124	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.1006133__1.993292	UniClust90_MCIAPDJH00612|1__6|SGB130999
SRR33750937.1007493__1.994639	UniClust90_JKKHKAPH03608|3__8|SGB89408
SRR33750937.1008179__1.995317	UniClust90_EGGMCINA02641|1__16|SGB131808
SRR33750937.1010555__1.997658	UniRef90_A0A2V5JB16|1__5|SGB52720
SRR33750937.1010570__1.997673	UniRef90_A0A2V5JB16|1__5|SGB52720
SRR33750937.1010844__1.997945	UniClust90_NOMIGGEC00941|1__20|SGB125949
SRR33750937.1012703__1.999795	UniClust90_BHLGKCAN03126|1__6|SGB56640
SRR33750937.1013170__1.1000258	UniClust90_OPIMDLOG02149|1__16|SGB132232
SRR33750937.1014215__1.1001286	UniClust90_EBKBLHBP00075|1__9|SGB133090
SRR33750937.1014448__1.1001516	UniClust90_PKCJLHDA01240|1__11|SGB89408
SRR33750937.1014741__1.1001807	UniClust90_BGDHDLNA01428|1__5|SGB84075
SRR33750937.1014923__1.1001984	UniRef90_UPI0003F5D8D3|1__9|SGB31987
SRR33750937.1014909__1.1001970	UniClust90_HNBLJKFC02208|1__12|SGB128778
SRR33750937.1015071__1.1002129	UniRef90_A0A2V8H4T2|1__7|SGB17587
SRR33750937.1015520__1.1002572	UniClust90_JKKHKAPH04722|1__9|SGB89408
SRR33750937.1015616__1.1002668	UniClust90_JKONEDMA00306|1__6|SGB130007
SRR33750937.1016963__1.1003995	UniClust90_NOMIGGEC02011|1__14|SGB125949
SRR33750937.1020554__1.1007544	UniRef90_A0A2V5JAG2|5__12|SGB52720
SRR33750937.1020648__1.1007637	UniClust90_IAFJOFII01086|1__10|SGB134112
SRR33750937.1020721__1.1007710	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750937.1020113__1.1007106	UniClust90_GBLMBOPO01026|4__7|SGB133090
SRR33750937.1020822__1.1007810	UniClust90_HMPPKHGP01876|2__6|SGB133091
SRR33750937.1020931__1.1007919	UniClust90_LLIEHLNH00104|1__7|SGB130007
SRR33750937.1020871__1.1007859	UniClust90_NHHHKJJE00913|1__11|SGB125949
SRR33750937.1021038__1.1008025	UniClust90_LLIEHLNH00104|1__7|SGB130007
SRR33750937.1022526__1.1009498	UniClust90_KFILDINH02190|1__22|SGB131188
SRR33750937.1022624__1.1009595	UniClust90_FHKGJLHA02709|1__8|SGB131987
SRR33750937.1024273__1.1011224	UniRef90_A0A1Q7BS55|6__10|SGB56640
SRR33750937.1024472__1.1011419	UniClust90_FNPCGKEP01815|1__3|SGB84078
SRR33750937.1026001__1.1012924	UniClust90_LLIEHLNH01857|1__8|SGB130007
SRR33750937.1026378__1.1013298	UniClust90_BGBNJMLN02087|1__7|SGB86773
SRR33750937.1027354__1.1014266	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750937.1027661__1.1014568	UniClust90_LCIBFGAE01406|1__9|SGB127159
SRR33750937.1032595__1.1019455	UniClust90_BOKHIPMC02144|1__6|SGB130007
SRR33750937.1032604__1.1019464	UniClust90_EJAHAFID04905|1__11|SGB130007
SRR33750937.1033511__1.1020364	UniClust90_AHMCBMKF02138|1__4|SGB89423
SRR33750937.1033484__1.1020337	UniClust90_MEABCEIN00888|1__7|SGB84078
SRR33750937.1035723__1.1022547	UniClust90_JMFJJCJA01964|1__6|SGB130007
SRR33750937.1035798__1.1022620	UniClust90_BPNLEABE02535|1__7|SGB89423
SRR33750937.1036234__1.1023054	UniClust90_EBKBLHBP00075|1__9|SGB133090
SRR33750937.1037274__1.1024079	UniClust90_EKHBECAI00110|1__19|SGB84079
SRR33750937.1038164__1.1024961	UniClust90_LAIOJIGH03212|1__5|SGB122683
SRR33750937.1038276__1.1025073	UniRef90_A0A2V7UDM1|1__10|SGB24060
SRR33750937.1038746__1.1025535	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750937.1040594__1.1027371	UniClust90_JOMGGAEL00209|5__9|SGB74789
SRR33750937.1042397__1.1029155	UniClust90_JKONEDMA00955|1__6|SGB130007
SRR33750937.1043695__1.1030434	UniClust90_MDGCCGDH00516|1__6|SGB56640
SRR33750937.1045745__1.1032452	UniClust90_IMMCPGKG00868|1__8|SGB128778
SRR33750937.1045996__1.1032702	UniRef90_A0A1Q7BI03|2__7|SGB56640
SRR33750937.1046370__1.1033069	UniRef90_A0A1Q7GER2|1__5|SGB17587
SRR33750937.1047316__1.1034006	UniClust90_DCOEIGHC00798|1__4|SGB89423
SRR33750937.1047568__1.1034254	UniClust90_EKCLMAKM04286|1__10|SGB89408
SRR33750937.1049452__1.1036125	UniClust90_OIPOEBPA02934|1__4|SGB84075
SRR33750937.1051080__1.1037737	UniClust90_LLIEHLNH00543|1__8|SGB130007
SRR33750937.1050557__1.1037221	UniClust90_HBEEPLGI00272|1__13|SGB128948
SRR33750937.1051520__1.1038173	UniClust90_GEHFPKBH01024|1__8|SGB84075
SRR33750937.1052345__1.1038991	UniClust90_LHNJEBFK01282|1__12|SGB123609
SRR33750937.1053408__1.1040036	UniClust90_CAJGAGCI00530|1__8|SGB134833
SRR33750937.1053746__1.1040369	UniClust90_GBLMBOPO00372|1__5|SGB133090
SRR33750937.1054955__1.1041563	UniClust90_OIPOEBPA03914|1__5|SGB84075
SRR33750937.1056252__1.1042846	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750937.1057853__1.1044432	UniClust90_PPJAIDOO03630|1__10|SGB84075
SRR33750937.1058008__1.1044585	UniRef90_A0A1I1WCI6|1__10|SGB8289
SRR33750937.1058489__1.1045059	UniClust90_PPDCKKGL00670|1__9|SGB133090
SRR33750937.1057965__1.1044542	UniClust90_OJGLOKOM01601|1__7|SGB84075
SRR33750937.1058774__1.1045343	UniClust90_JJIPPMBI00979|1__5|SGB133090
SRR33750937.1059806__1.1046365	UniClust90_KKIMMIEP00587|1__14|SGB131083
SRR33750937.1060573__1.1047125	UniRef90_A0A1Q7B4K4|1__5|SGB56640
SRR33750937.1061149__1.1047698	UniClust90_PKNCJFOJ02657|16__22|SGB56640
SRR33750937.1062019__1.1048558	UniClust90_JMFJJCJA02092|1__7|SGB130007
SRR33750937.1062685__1.1049221	UniRef90_A0A2V5LU44|1__5|SGB52717
SRR33750937.1063272__1.1049803	UniClust90_MEABCEIN01551|1__4|SGB84078
SRR33750937.1062978__1.1049513	UniClust90_JMFJJCJA00953|1__7|SGB130007
SRR33750937.1063855__1.1050379	UniClust90_EJAHAFID01881|1__7|SGB130007
SRR33750937.1065201__1.1051711	UniClust90_DPHDLECE01054|1__6|SGB52714
SRR33750937.1066285__1.1052781	UniClust90_OCJAPFEA02293|1__12|SGB125949
SRR33750937.1066794__1.1053282	UniClust90_NOMIGGEC03429|1__10|SGB125949
SRR33750937.1067260__1.1053746	UniRef90_A0A2V8KHM6|1__4|SGB17587
SRR33750937.1067869__1.1054347	UniClust90_MLBPMDPB01183|1__13|SGB131772
SRR33750937.1069027__1.1055498	UniClust90_BMNCKFOH00854|1__19|SGB82371
SRR33750937.1069727__1.1056194	UniRef90_A0A2V6B994|1__8|SGB52714
SRR33750937.1069782__1.1056249	UniClust90_JHDCGHEC01811|1__7|SGB56104
SRR33750937.1069870__1.1056336	UniClust90_EJAHAFID01881|1__7|SGB130007
SRR33750937.1070289__1.1056753	UniRef90_A0A2V8L0W4|1__7|SGB17587
SRR33750937.1071990__1.1058439	UniClust90_EDNFDLAG02091|1__6|SGB84078
SRR33750937.1072867__1.1059309	UniClust90_EJAHAFID01881|1__7|SGB130007
SRR33750937.1074225__1.1060658	UniClust90_HGJNCPHJ05247|1__9|SGB125949
SRR33750937.1074414__1.1060844	UniRef90_A0A2V8KHM6|1__4|SGB17587
SRR33750937.1074664__1.1061094	UniClust90_PFBNAPOO01310|1__6|SGB89423
SRR33750937.1074691__1.1061121	UniClust90_EJAHAFID03699|1__5|SGB130007
SRR33750937.1074873__1.1061301	UniClust90_INNLFMKA00690|1__6|SGB122683
SRR33750937.1074831__1.1061260	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750937.1075866__1.1062287	UniClust90_LIJJNCMN00722|1__14|SGB82811
SRR33750937.1076451__1.1062869	UniClust90_JKONEDMA01815|1__9|SGB130007
SRR33750937.1078617__1.1065012	UniClust90_CENPGEFH01002|1__12|SGB131987
SRR33750937.1078745__1.1065139	UniClust90_OIPOEBPA04237|1__7|SGB84075
SRR33750937.1079330__1.1065714	UniRef90_A0A2V6KP64|2__7|SGB52727
SRR33750937.1081654__1.1068010	UniClust90_BGDHDLNA01949|1__10|SGB84075
SRR33750937.1081804__1.1068159	UniClust90_LLIEHLNH02010|1__5|SGB130007
SRR33750937.1082343__1.1068694	UniClust90_CMJGEBLA02232|1__8|SGB89408
SRR33750937.1083311__1.1069654	UniClust90_INNLFMKA00976|1__3|SGB122683
SRR33750937.1084228__1.1070566	UniClust90_OIPOEBPA04237|1__7|SGB84075
SRR33750937.1084555__1.1070893	UniClust90_MLNPFKGI00544|1__11|SGB131189
SRR33750937.1084511__1.1070849	UniClust90_PPJAIDOO03393|1__13|SGB84075
SRR33750937.1084540__1.1070878	UniRef90_A0A1Q8BAM7|1__7|SGB17587
SRR33750937.1084613__1.1070950	UniClust90_OEKPEMHO01212|1__11|SGB129874
SRR33750937.1085015__1.1071349	UniClust90_EDNFDLAG00014|1__6|SGB84078
SRR33750937.1085138__1.1071470	UniRef90_A0A2V5R4I1|1__7|SGB52719
SRR33750937.1085167__1.1071498	UniClust90_JMFJJCJA03372|1__11|SGB130007
SRR33750937.1086408__1.1072725	UniClust90_FNPCGKEP01550|3__9|SGB84078
SRR33750937.1086711__1.1073023	UniClust90_JKONEDMA01815|1__9|SGB130007
SRR33750937.1087163__1.1073473	UniClust90_JMFJJCJA01157|1__6|SGB130007
SRR33750937.1087205__1.1073515	UniClust90_EGBAJGJI02963|1__11|SGB126057
SRR33750937.1087445__1.1073754	UniClust90_OALLKAFI01964|1__7|SGB84078
SRR33750937.1087421__1.1073730	UniClust90_NFMPBPOM02721|1__10|SGB128685
SRR33750937.1087761__1.1074064	UniClust90_IAFJOFII01416|1__13|SGB134112
SRR33750937.1088914__1.1075205	UniClust90_FNPCGKEP01518|1__7|SGB84078
SRR33750937.1089109__1.1075399	UniClust90_DIBLBONP01702|3__13|SGB84078
SRR33750937.1090026__1.1076304	UniClust90_DIBLBONP01299|1__8|SGB84078
SRR33750937.1089382__1.1075670	UniClust90_PIHLJOEE04123|1__13|SGB84075
SRR33750937.1091013__1.1077280	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.1091276__1.1077539	UniClust90_OJGLOKOM00306|1__7|SGB84075
SRR33750937.1092408__1.1078658	UniRef90_A0A1Q7BJI7|1__5|SGB56640
SRR33750937.1092513__1.1078763	UniRef90_A0A1Q7BHH1|1__10|SGB56640
SRR33750937.1093201__1.1079443	UniRef90_A0A2V8KBD9|1__9|SGB17587
SRR33750937.1093868__1.1080104	UniClust90_NOMIGGEC03977|1__9|SGB125949
SRR33750937.1094701__1.1080928	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750937.1094702__1.1080929	UniClust90_OPLEJCPF04706|1__9|SGB125949
SRR33750937.1095975__1.1082186	UniClust90_PIHLJOEE02851|1__8|SGB84075
SRR33750937.1096227__1.1082437	UniClust90_CBDIOHJF00242|1__5|SGB89725
SRR33750937.1097190__1.1083391	UniClust90_GJEIHIOJ01342|2__5|SGB122526
SRR33750937.1097519__1.1083716	UniClust90_PFBNAPOO00993|2__6|SGB89423
SRR33750937.1098288__1.1084477	UniClust90_PPDCKKGL01275|1__6|SGB133090
SRR33750937.1098640__1.1084826	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750937.1099722__1.1085898	UniClust90_DIBLBONP02072|3__9|SGB84078
SRR33750937.1099971__1.1086147	UniRef90_A0A2V8JD67|1__5|SGB17587
SRR33750937.1100047__1.1086223	UniClust90_LLIEHLNH00544|1__6|SGB130007
SRR33750937.1100704__1.1086876	UniClust90_CAGCLOCO01573|1__5|SGB89423
SRR33750937.1100903__1.1087074	UniClust90_BHLGKCAN05273|1__7|SGB56640
SRR33750937.1101471__1.1087635	UniRef90_A0A2V5PSB4|1__8|SGB84075
SRR33750937.1101395__1.1087560	UniRef90_A0A2V8L1S0|1__4|SGB17587
SRR33750937.1102769__1.1088921	UniRef90_A0A1Q8B5P9|1__9|SGB17587
SRR33750937.1103082__1.1089234	UniClust90_NECMKPAF04939|1__10|SGB89408
SRR33750937.1104005__1.1090149	UniRef90_A0A2V5RME7|1__5|SGB52719
SRR33750937.1106648__1.1092774	UniClust90_CHMIEHDJ03241|5__12|SGB56640
SRR33750937.1106901__1.1093026	UniClust90_BPMJODAH00164|3__14|SGB52730
SRR33750937.1109827__1.1095929	UniClust90_ACDABMLJ00871|1__7|SGB133090
SRR33750937.1111719__1.1097807	UniRef90_UPI0010ACDC00|1__17|SGB49130
SRR33750937.1111912__1.1097998	UniRef90_A0A2V8J021|1__4|SGB17587
SRR33750937.1113003__1.1099085	UniClust90_OCJAPFEA02361|1__9|SGB125949
SRR33750937.1113396__1.1099475	UniClust90_LLIEHLNH00544|1__6|SGB130007
SRR33750937.1113993__1.1100063	UniRef90_A0A1Q8BAD6|1__7|SGB17587
SRR33750937.1115748__1.1101803	UniRef90_A0A1M5S1L6|1__12|SGB11289
SRR33750937.1115338__1.1101397	UniClust90_ALKCEPAF07500|1__19|SGB87169
SRR33750937.1116347__1.1102396	UniRef90_A0A2V8GTH9|1__13|SGB17587
SRR33750937.1116781__1.1102827	UniClust90_PPJAIDOO02408|1__6|SGB84075
SRR33750937.1117649__1.1103684	UniClust90_IOAHNBIK01348|4__10|SGB22102
SRR33750937.1119110__1.1105132	UniClust90_IPBGJNGD01826|1__6|SGB89408
SRR33750937.1118900__1.1104923	UniClust90_GIDCBJMF00150|1__12|SGB134112
SRR33750937.1120004__1.1106017	UniRef90_A0A2V5RD41|1__6|SGB52719
SRR33750937.1119560__1.1105578	UniClust90_PIHLJOEE00229|1__9|SGB84075
SRR33750937.1121786__1.1107787	UniClust90_IGKPANEM01389|1__11|SGB128987
SRR33750937.1122474__1.1108473	UniClust90_BDNGBGFH02089|1__15|SGB125634
SRR33750937.1123764__1.1109752	UniClust90_CAGCLOCO00566|4__8|SGB89423
SRR33750937.1124899__1.1110882	UniClust90_KPGCMLFP01412|1__9|SGB89408
SRR33750937.1125120__1.1111102	UniClust90_DPJLILCC00751|1__9|SGB89725
SRR33750937.1130686__1.1116632	UniRef90_A0A2V5S0T7|1__4|SGB52729
SRR33750937.1130605__1.1116551	UniClust90_IOFPBIHC01165|1__8|SGB130007
SRR33750937.1132395__1.1118330	UniClust90_EIADNAMP00186|1__17|SGB132424
SRR33750937.1132517__1.1118452	UniClust90_MEEHGGHD00159|1__7|SGB127159
SRR33750937.1133321__1.1119255	UniRef90_A0A1Q7B865|1__5|SGB56640
SRR33750937.1137564__1.1123467	UniClust90_GJEIHIOJ01210|1__7|SGB122526
SRR33750937.1139169__1.1125058	UniClust90_FNPCGKEP04477|1__8|SGB84078
SRR33750937.1139956__1.1125843	UniClust90_CKLAELPF01111|1__12|SGB128178
SRR33750937.1140891__1.1126769	UniClust90_IBMDDACE01005|1__16|SGB128778
SRR33750937.1141827__1.1127695	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750937.1142014__1.1127880	UniRef90_A0A2V6J4S6|1__10|SGB52714
SRR33750937.1141482__1.1127354	UniRef90_A0A2V5Q9F0|1__4|SGB52719
SRR33750937.1142865__1.1128723	UniRef90_A0A353YFI2|1__5|SGB89423
SRR33750937.1143883__1.1129729	UniClust90_IDGGEJIK01552|1__6|SGB56638
SRR33750937.1144679__1.1130518	UniClust90_JFOPKFBK00056|1__3|SGB122683
SRR33750937.1144787__1.1130623	UniClust90_FNPCGKEP01699|1__4|SGB84078
SRR33750937.1144956__1.1130790	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750937.1145887__1.1131707	UniClust90_JMJHPHJK01792|1__6|SGB134112
SRR33750937.1147990__1.1133799	UniClust90_JKKHKAPH03292|2__8|SGB89408
SRR33750937.1149891__1.1135678	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750937.1150656__1.1136435	UniClust90_OCJAPFEA01311|1__9|SGB125949
SRR33750937.1151905__1.1137670	UniClust90_EGCAKLJA00933|1__7|SGB128178
SRR33750937.1152173__1.1137938	UniClust90_GCEPBNKN01125|1__6|SGB122683
SRR33750937.1154878__1.1140610	UniRef90_A0A2V5RCY2|1__7|SGB52719
SRR33750937.1155396__1.1141122	UniClust90_JKKHKAPH00965|7__20|SGB89408
SRR33750937.1157719__1.1143427	UniClust90_OJGLOKOM00750|1__5|SGB84075
SRR33750937.1158258__1.1143962	UniClust90_PEBAJCBJ02086|1__28|SGB82427
SRR33750937.1158734__1.1144436	UniClust90_OJGLOKOM01700|1__15|SGB84075
SRR33750937.1162970__1.1148639	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750937.1164119__1.1149776	UniClust90_OEKPEMHO01521|1__10|SGB129874
SRR33750937.1164172__1.1149828	UniClust90_EDNFDLAG00014|1__6|SGB84078
SRR33750937.1167924__1.1153542	UniClust90_OEKPEMHO01569|1__10|SGB129874
SRR33750937.1169352__1.1154952	UniClust90_FNPCGKEP04477|1__8|SGB84078
SRR33750937.1171617__1.1157204	UniRef90_A0A2V8GSP8|1__3|SGB17587
SRR33750937.1171776__1.1157362	UniClust90_JBGFDMNO01383|1__7|SGB56638
SRR33750937.1171868__1.1157452	UniClust90_HGFGGOBL01609|1__5|SGB84331
SRR33750937.1171946__1.1157530	UniClust90_KMEALJDO02322|1__8|SGB84078
SRR33750937.1172882__1.1158459	UniRef90_A0A2V8GSP8|1__3|SGB17587
SRR33750937.1173314__1.1158887	UniClust90_IBNNDEFK04858|1__7|SGB89408
SRR33750937.1173588__1.1159158	UniClust90_HGJNCPHJ04381|1__18|SGB125949
SRR33750937.1173780__1.1159349	UniClust90_ENCMJEIO06668|1__17|SGB87004
SRR33750937.1174329__1.1159893	UniClust90_EDNFDLAG01851|1__6|SGB84078
SRR33750937.1174494__1.1160058	UniClust90_EDBNNBOB01735|5__8|SGB56640
SRR33750937.1179006__1.1164534	UniRef90_A0A2V8L0L3|1__6|SGB17587
SRR33750937.1179138__1.1164664	UniClust90_HAPCEGOL03630|1__14|SGB176228
SRR33750937.1180538__1.1166056	UniClust90_EJFOFLBH00026|1__4|SGB133091
SRR33750937.1183759__1.1169258	UniClust90_AMOCLKLN01079|1__7|SGB122683
SRR33750937.1184387__1.1169880	UniRef90_A0A3D5E167|5__9|SGB130007
SRR33750937.1185184__1.1170671	UniClust90_JKONEDMA00955|1__6|SGB130007
SRR33750937.1186505__1.1171981	UniClust90_EJAHAFID00324|1__8|SGB130007
SRR33750937.1187233__1.1172704	UniClust90_FPGDCGCP01935|1__4|SGB89423
SRR33750937.1188719__1.1174180	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750937.1188800__1.1174261	UniClust90_AJOJABBL00436|1__4|SGB89423
SRR33750937.1189099__1.1174557	UniRef90_A0A2V5RLW5|1__7|SGB52719
SRR33750937.1189188__1.1174645	UniRef90_A0A2V8CNW8|1__11|SGB24078
SRR33750937.1188998__1.1174459	UniClust90_FNPCGKEP04476|1__3|SGB84078
SRR33750937.1189659__1.1175109	UniRef90_A0A2V8KMI3|1__6|SGB17587
SRR33750937.1190098__1.1175546	UniClust90_BGDHDLNA01951|1__4|SGB84075
SRR33750937.1191070__1.1176509	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.1192399__1.1177829	UniClust90_OPFCPGGL01137|1__4|SGB89423
SRR33750937.1192969__1.1178393	UniClust90_MDGCCGDH03367|2__7|SGB56640
SRR33750937.1192946__1.1178371	UniRef90_A0A2V6I1G0|1__5|SGB52730
SRR33750937.1193084__1.1178506	UniClust90_IOFPBIHC03266|1__6|SGB130007
SRR33750937.1193561__1.1178981	UniClust90_BGDHDLNA04043|1__5|SGB84075
SRR33750937.1194354__1.1179766	UniRef90_A0A1Q8BAQ8|1__3|SGB17587
SRR33750937.1195927__1.1181312	UniClust90_EJAHAFID00324|1__8|SGB130007
SRR33750937.1196248__1.1181632	UniClust90_OJFAJFEC01069|1__3|SGB89423
SRR33750937.1196751__1.1182131	UniClust90_HMPPKHGP01288|1__7|SGB133091
SRR33750937.1198663__1.1184017	UniClust90_PPDCKKGL01275|1__6|SGB133090
SRR33750937.1198779__1.1184132	UniRef90_A0A1Q7BMJ0|2__5|SGB56640
SRR33750937.1199261__1.1184608	UniClust90_CEIBDEKO02136|3__9|SGB133121
SRR33750937.1198999__1.1184350	UniClust90_PKKPDJBP01153|1__5|SGB89423
SRR33750937.1200447__1.1185778	UniRef90_A0A1Q7GGT7|1__7|SGB17587
SRR33750937.1201958__1.1187276	UniClust90_JMJHPHJK00640|1__3|SGB134112
SRR33750937.1202262__1.1187575	UniClust90_NOMIGGEC01377|1__10|SGB125949
SRR33750937.1202772__1.1188076	UniClust90_HGJNCPHJ01683|1__9|SGB125949
SRR33750937.1203581__1.1188878	UniClust90_BOKHIPMC02522|6__11|SGB130007
SRR33750937.1205074__1.1190358	UniRef90_A0A1Q7BY25|3__8|SGB89408
SRR33750937.1205622__1.1190903	UniClust90_MOPOFHCP03781|1__7|SGB89408
SRR33750937.1206993__1.1192260	UniClust90_EJFOFLBH00361|1__6|SGB133091
SRR33750937.1207751__1.1193007	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750937.1208819__1.1194061	UniClust90_OALLKAFI04015|1__5|SGB84078
SRR33750937.1210908__1.1196115	UniClust90_EJAHAFID03501|1__5|SGB130007
SRR33750937.1213560__1.1198712	UniClust90_LLIEHLNH01857|1__8|SGB130007
SRR33750937.1214813__1.1199949	UniClust90_JMFJJCJA02353|1__8|SGB130007
SRR33750937.1216291__1.1201409	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750937.1216535__1.1201648	UniClust90_EJAHAFID03699|1__5|SGB130007
SRR33750937.1216580__1.1201692	UniClust90_EHIAFBHG01479|1__9|SGB128778
SRR33750937.1216534__1.1201647	UniClust90_EJAHAFID03699|1__5|SGB130007
SRR33750937.1216681__1.1201793	UniClust90_DNMMGMDO06405|1__16|SGB93407
SRR33750937.1216948__1.1202055	UniRef90_A0A2V5SUV4|1__7|SGB52719
SRR33750937.1217183__1.1202286	UniClust90_BHLGKCAN05823|1__4|SGB56640
SRR33750937.1218154__1.1203240	UniClust90_CHMIEHDJ02503|1__6|SGB56640
SRR33750937.1221802__1.1206844	UniClust90_DMCDKPDB00905|1__7|SGB89423
SRR33750937.1222248__1.1207285	UniClust90_NOMIGGEC01820|1__15|SGB125949
SRR33750937.1222525__1.1207558	UniClust90_OIPOEBPA04237|1__7|SGB84075
SRR33750937.1222882__1.1207911	UniClust90_LEJLODHJ01556|1__9|SGB89423
SRR33750937.1223981__1.1208997	UniRef90_A0A1Q7B865|1__5|SGB56640
SRR33750937.1225025__1.1210032	UniRef90_A0A1S5Y239|1__9|SGB125949
SRR33750937.1225671__1.1210669	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750937.1227101__1.1212083	UniClust90_OIPOEBPA02933|1__6|SGB84075
SRR33750937.1227393__1.1212372	UniClust90_OPLEJCPF05178|1__8|SGB125949
SRR33750937.1227657__1.1212631	UniClust90_BOKHIPMC05973|1__9|SGB130007
SRR33750937.1228316__1.1213285	UniClust90_DIBLBONP01737|1__8|SGB84078
SRR33750937.1228493__1.1213460	UniClust90_DIBLBONP01245|1__6|SGB84078
SRR33750937.1229871__1.1214821	UniClust90_BGDHDLNA07467|1__10|SGB84075
SRR33750937.1231992__1.1216919	UniClust90_DEFNONOM02357|8__12|SGB56640
SRR33750937.1232023__1.1216950	UniClust90_MKPDLIIB02374|1__7|SGB131913
SRR33750937.1232091__1.1217017	UniRef90_A0A1Q7BHH1|1__10|SGB56640
SRR33750937.1232049__1.1216975	UniClust90_EJAHAFID02172|1__5|SGB130007
SRR33750937.1235012__1.1219906	UniClust90_EOFGAKMC01068|1__8|SGB84075
SRR33750937.1235537__1.1220417	UniClust90_EJAHAFID04905|1__11|SGB130007
SRR33750937.1234965__1.1219859	UniRef90_A0A2V8L3E9|1__9|SGB17587
SRR33750937.1235889__1.1220768	UniClust90_MFINKINL03872|1__18|SGB109676
SRR33750937.1236472__1.1221342	UniRef90_A0A1Q7B621|1__9|SGB56640
SRR33750937.1236591__1.1221461	UniClust90_PIHLJOEE03750|1__5|SGB84075
SRR33750937.1236643__1.1221513	UniRef90_A0A2V8L3E9|1__9|SGB17587
SRR33750937.1236754__1.1221624	UniClust90_OCJAPFEA03308|1__24|SGB125949
SRR33750937.1238408__1.1223261	UniClust90_JBMBCDML02119|1__6|SGB89725
SRR33750937.1238450__1.1223303	UniRef90_A0A1Q8B9Q0|1__5|SGB17587
