SRR33750958.128__1.127	UniClust90_PLNJEBMN01166|1__4|SGB133091
SRR33750958.9668448__1.9528062	UniRef90_A0A1Q7BEM9|1__6|SGB56640
SRR33750958.9668709__1.9528320	UniClust90_DPLIHBNC01178|1__7|SGB89725
SRR33750958.9670833__1.9530417	UniRef90_UPI000378DE10|1__20|SGB30552
SRR33750958.9671059__1.9530641	UniRef90_A0A1Q7B562|1__6|SGB56640
SRR33750958.9672558__1.9532121	UniClust90_AMDOLPBA01841|1__12|SGB73712
SRR33750958.9672982__1.9532537	UniClust90_AMDOLPBA01841|1__12|SGB73712
SRR33750958.9674691__1.9534223	UniClust90_KMEALJDO01798|1__7|SGB84078
SRR33750958.9676078__1.9535592	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750958.9676264__1.9535778	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750958.9676903__1.9536412	UniRef90_UPI00107E9746|1__21|SGB34492
SRR33750958.9677523__1.9537023	UniClust90_IOFPBIHC01165|1__8|SGB130007
SRR33750958.9677743__1.9537242	UniClust90_FCPHDNIE01144|1__8|SGB74780
SRR33750958.9678751__1.9538235	UniClust90_PKNCJFOJ01144|1__7|SGB56640
SRR33750958.9678782__1.9538265	UniClust90_GEHFPKBH00848|1__9|SGB84075
SRR33750958.9679658__1.9539126	UniClust90_BJLHFLCN01195|1__5|SGB56638
SRR33750958.9679521__1.9538990	UniClust90_CBDIOHJF00849|4__13|SGB89725
SRR33750958.9679728__1.9539195	UniClust90_BJLHFLCN01195|1__5|SGB56638
SRR33750958.9681917__1.9541363	UniClust90_OPLEJCPF01504|1__12|SGB125949
SRR33750958.9682776__1.9542213	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750958.9688376__1.9547733	UniClust90_FNPCGKEP01519|1__5|SGB84078
SRR33750958.9688492__1.9547849	UniClust90_FNPCGKEP01519|1__5|SGB84078
SRR33750958.9689368__1.9548715	UniClust90_DCJCBMEC03905|6__9|SGB122526
SRR33750958.9691946__1.9551258	UniClust90_FNPCGKEP03897|2__6|SGB84078
SRR33750958.9692857__1.9552160	UniClust90_DIBLBONP02072|3__9|SGB84078
SRR33750958.9693414__1.9552707	UniClust90_AGBJGNAA01018|1__7|SGB74789
SRR33750958.9694393__1.9553668	UniClust90_FECOCFCC03729|1__13|SGB128987
SRR33750958.9694495__1.9553768	UniClust90_HGJNCPHJ00274|5__12|SGB125949
SRR33750958.9697323__1.9556560	UniClust90_EDBNNBOB00489|1__6|SGB56640
SRR33750958.9697489__1.9556725	UniClust90_PLNJEBMN01624|1__12|SGB133091
SRR33750958.9698157__1.9557383	UniClust90_DPLIHBNC01508|1__5|SGB89725
SRR33750958.9698818__1.9558038	UniClust90_HNBLJKFC00905|1__8|SGB128778
SRR33750958.9698858__1.9558078	UniClust90_BHLGKCAN02368|1__5|SGB56640
SRR33750958.9699513__1.9558726	UniClust90_AGJDNOHG01547|1__5|SGB89423
SRR33750958.9699503__1.9558716	UniClust90_OCJAPFEA02293|1__12|SGB125949
SRR33750958.9699850__1.9559057	UniClust90_HNBLJKFC01245|1__8|SGB128778
SRR33750958.9701850__1.9561035	UniClust90_BGMDAEJF01518|8__18|SGB122526
SRR33750958.9702039__1.9561222	UniRef90_A0A1Q7B4L6|1__6|SGB56640
SRR33750958.9704136__1.9563287	UniRef90_R4K7R8|1__11|SGB6200
SRR33750958.9704376__1.9563524	UniClust90_MADMLNLG01808|1__6|SGB89423
SRR33750958.9704743__1.9563884	UniClust90_MIEAKENA06903|1__11|SGB89887
SRR33750958.9705144__1.9564278	UniClust90_EJAHAFID00409|1__6|SGB130007
SRR33750958.9706059__1.9565188	UniRef90_A0A1Q7B700|3__6|SGB56638
SRR33750958.9707568__1.9566683	UniClust90_IGKPANEM00063|1__10|SGB128987
SRR33750958.9707618__1.9566733	UniClust90_PLNJEBMN00501|5__8|SGB133091
SRR33750958.9709160__1.9568261	UniClust90_BGDHDLNA04491|1__13|SGB84075
SRR33750958.9711009__1.9570072	UniClust90_EJFOFLBH01359|1__5|SGB133091
SRR33750958.9711024__1.9570087	UniClust90_GIDCBJMF00523|1__10|SGB134112
SRR33750958.9711213__1.9570273	UniClust90_MEABCEIN00888|1__7|SGB84078
SRR33750958.9712140__1.9571191	UniClust90_GMEAMNGB01996|1__11|SGB134112
SRR33750958.9712482__1.9571528	UniClust90_IHBLDNHM00191|1__23|SGB110988
SRR33750958.9713215__1.9572254	UniClust90_ALPEOPJM01563|3__7|SGB84331
SRR33750958.9713284__1.9572320	UniClust90_ALPEOPJM01563|3__7|SGB84331
SRR33750958.9715248__1.9574260	UniClust90_DAODNPOA01619|1__6|SGB89725
SRR33750958.9716320__1.9575324	UniClust90_ACDABMLJ01800|3__8|SGB133090
SRR33750958.9717376__1.9576362	UniClust90_EDNFDLAG00955|2__6|SGB84078
SRR33750958.9718639__1.9577608	UniClust90_ENBABIAF00036|1__11|SGB128778
SRR33750958.9719511__1.9578474	UniRef90_UPI000A03F877|1__15|SGB34405
SRR33750958.9719966__1.9578923	UniClust90_NHHHKJJE03539|1__8|SGB125949
SRR33750958.9720165__1.9579115	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750958.9720543__1.9579487	UniClust90_PEMFFBNE00295|1__5|SGB74789
SRR33750958.9720765__1.9579708	UniClust90_CDCDKIIJ00249|1__9|SGB84331
SRR33750958.9720863__1.9579804	UniClust90_GJEIHIOJ02408|1__4|SGB122526
SRR33750958.9721479__1.9580413	UniRef90_A0A2V6E460|1__14|SGB22169
SRR33750958.9722131__1.9581059	UniClust90_EJAHAFID04099|1__9|SGB130007
SRR33750958.9722450__1.9581377	UniRef90_A0A124F2V0|1__7|SGB16170
SRR33750958.9722484__1.9581410	UniClust90_BDNGBGFH00991|5__15|SGB125634
SRR33750958.9722999__1.9581921	UniClust90_IABCABEO01996|1__7|SGB74789
SRR33750958.9722749__1.9581673	UniClust90_OPLEJCPF02982|1__12|SGB125949
SRR33750958.9723229__1.9582150	UniClust90_DEHNPGMG00687|1__4|SGB89423
SRR33750958.9723322__1.9582243	UniClust90_BGDHDLNA07467|1__10|SGB84075
SRR33750958.9723942__1.9582855	UniClust90_IMMCPGKG00059|1__10|SGB128778
SRR33750958.9724735__1.9583639	UniRef90_A0A2V6ASH5|1__5|SGB52714
SRR33750958.9726111__1.9584996	UniClust90_DPLIHBNC01542|2__6|SGB89725
SRR33750958.9726764__1.9585643	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750958.9726824__1.9585702	UniClust90_HMPPKHGP01982|4__8|SGB133091
SRR33750958.9727175__1.9586049	UniClust90_HGJNCPHJ04065|1__12|SGB125949
SRR33750958.9729259__1.9588105	UniClust90_DJBDGBNB03404|1__8|SGB89725
SRR33750958.9730112__1.9588952	UniClust90_KMEALJDO01673|5__8|SGB84078
SRR33750958.9730522__1.9589358	UniRef90_A0A1F2TWD4|1__19|SGB173243
SRR33750958.9730631__1.9589467	UniClust90_BGMDAEJF02420|1__11|SGB122526
SRR33750958.9730636__1.9589472	UniRef90_A0A1I6W9A7|1__8|SGB7706
SRR33750958.9730828__1.9589663	UniClust90_AOMEFECO01297|3__10|SGB133090
SRR33750958.9730792__1.9589628	UniClust90_AOMEFECO01297|3__10|SGB133090
SRR33750958.9731383__1.9590210	UniClust90_KAHJAFCN02523|1__8|SGB133052
SRR33750958.9732023__1.9590842	UniRef90_A0A357CLP1|3__7|SGB133091
SRR33750958.9732233__1.9591050	UniRef90_A0A2V6BEN9|1__4|SGB52717
SRR33750958.9733272__1.9592076	UniClust90_NOMIGGEC02686|1__9|SGB125949
SRR33750958.9733542__1.9592342	UniClust90_GFFNGEKC01100|1__6|SGB56640
SRR33750958.9733588__1.9592387	UniClust90_CMEKGFCC02306|1__9|SGB127159
SRR33750958.9734021__1.9592814	UniClust90_CHMIEHDJ01175|1__8|SGB56640
SRR33750958.9737694__1.9596440	UniRef90_A0A2V5YNU2|1__9|SGB52714
SRR33750958.9738189__1.9596929	UniClust90_EJAHAFID04665|1__8|SGB130007
SRR33750958.9739202__1.9597933	UniClust90_MCHJAOLG01493|1__6|SGB86769
SRR33750958.9739376__1.9598106	UniRef90_A0A2V6FI72|1__11|SGB22169
SRR33750958.9739792__1.9598519	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.9739446__1.9598175	UniClust90_EJFOFLBH01963|14__17|SGB133091
SRR33750958.9740900__1.9599617	UniClust90_DPLIHBNC01574|1__5|SGB89725
SRR33750958.9740609__1.9599327	UniClust90_NHHHKJJE03592|1__9|SGB125949
SRR33750958.9741247__1.9599960	UniClust90_IMMCPGKG00872|1__16|SGB128778
SRR33750958.9741349__1.9600061	UniClust90_BKEMCFBC00133|1__16|SGB131913
SRR33750958.9741353__1.9600065	UniClust90_BKEMCFBC00133|1__16|SGB131913
SRR33750958.9743510__1.9602188	UniRef90_A0A1Q7BDI5|12__16|SGB56640
SRR33750958.9746585__1.9605227	UniClust90_BLCHLCBI00849|1__4|SGB133090
SRR33750958.9747815__1.9606441	UniClust90_NHHHKJJE01409|1__11|SGB125949
SRR33750958.9749216__1.9607824	UniClust90_GMEAMNGB02997|6__18|SGB134112
SRR33750958.9750015__1.9608618	UniClust90_EOFGAKMC00667|1__12|SGB84075
SRR33750958.9751425__1.9610009	UniClust90_NOMIGGEC01921|1__15|SGB125949
SRR33750958.9752390__1.9610962	UniClust90_EJFOFLBH01934|1__8|SGB133091
SRR33750958.9752878__1.9611437	UniClust90_LLIEHLNH03282|1__7|SGB130007
SRR33750958.9753145__1.9611702	UniClust90_LCIBFGAE02836|1__11|SGB127159
SRR33750958.9753383__1.9611938	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750958.9754536__1.9613080	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750958.9754222__1.9612767	UniClust90_OAHKOOFD03512|1__6|SGB122526
SRR33750958.9754909__1.9613450	UniClust90_DPJLILCC00136|1__18|SGB89725
SRR33750958.9754642__1.9613185	UniClust90_NMMPJMDJ01774|1__7|SGB122683
SRR33750958.9757547__1.9616050	UniClust90_DIBLBONP01737|1__8|SGB84078
SRR33750958.9757512__1.9616017	UniClust90_DIBLBONP01737|1__8|SGB84078
SRR33750958.9759665__1.9618149	UniClust90_DHFBAFBN01186|1__13|SGB133121
SRR33750958.9761022__1.9619489	UniClust90_ABOOFKJJ01590|1__17|SGB127159
SRR33750958.9763230__1.9621661	UniClust90_GNADLFLM01666|1__30|SGB126432
SRR33750958.9764669__1.9623077	UniClust90_DBBCBONN01697|1__24|SGB126432
SRR33750958.9764148__1.9622563	UniClust90_PIJGIFJB00161|1__8|SGB89423
SRR33750958.9764945__1.9623350	UniClust90_EJHPGLNK01677|1__5|SGB89423
SRR33750958.9765599__1.9623999	UniClust90_LLHLEBOE00358|1__4|SGB89423
SRR33750958.9768308__1.9626674	UniClust90_OIPOEBPA02129|1__6|SGB84075
SRR33750958.9768883__1.9627238	UniRef90_UPI000550A4BE|1__5|SGB11329
SRR33750958.9770015__1.9628353	UniClust90_HGAMACDH01580|6__13|SGB128778
SRR33750958.9769697__1.9628039	UniClust90_BKEMCFBC01127|1__9|SGB131913
SRR33750958.9771079__1.9629402	UniClust90_OCJAPFEA04785|1__10|SGB125949
SRR33750958.9771651__1.9629970	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750958.9771832__1.9630148	UniClust90_JHNMEHIJ04550|1__6|SGB56640
SRR33750958.9773904__1.9632191	UniClust90_DIBLBONP00756|1__7|SGB84078
SRR33750958.9777018__1.9635261	UniClust90_IGKPANEM01781|1__11|SGB128987
SRR33750958.9777783__1.9636021	UniClust90_DCJCBMEC03647|3__8|SGB122526
SRR33750958.9778275__1.9636503	UniClust90_KEAMKDIF01634|1__18|SGB93322
SRR33750958.9780033__1.9638230	UniClust90_DJBDGBNB00607|1__6|SGB89725
SRR33750958.9780803__1.9638990	UniClust90_ELBNJALK00495|1__4|SGB74789
SRR33750958.9780849__1.9639034	UniRef90_A0A2S6MXD4|1__16|SGB24349
SRR33750958.9782813__1.9640965	UniClust90_JMFJJCJA01738|3__10|SGB130007
SRR33750958.9782905__1.9641056	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.9783021__1.9641171	UniClust90_ICLCAGBO03879|1__5|SGB131913
SRR33750958.9786485__1.9644592	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750958.9785796__1.9643914	UniClust90_ACDABMLJ00265|8__13|SGB133090
SRR33750958.9787198__1.9645300	UniRef90_A0A2V5QV54|1__5|SGB52719
SRR33750958.9787110__1.9645213	UniClust90_OJFAJFEC01069|1__3|SGB89423
SRR33750958.9787631__1.9645725	UniClust90_MDGCCGDH03367|2__7|SGB56640
SRR33750958.9787538__1.9645633	UniClust90_GJEIHIOJ01490|1__5|SGB122526
SRR33750958.9788161__1.9646253	UniClust90_CMHDMJOM03759|1__5|SGB56640
SRR33750958.9788512__1.9646598	UniClust90_BHLGKCAN03126|1__6|SGB56640
SRR33750958.9788783__1.9646866	UniClust90_OAHKOOFD02153|2__16|SGB122526
SRR33750958.9789931__1.9648001	UniClust90_IDPAEINK02213|7__13|SGB89725
SRR33750958.9790388__1.9648452	UniRef90_A0A2V5RUC5|1__10|SGB52719
SRR33750958.9791325__1.9649378	UniClust90_IAFJOFII01326|1__7|SGB134112
SRR33750958.9791601__1.9649649	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.9791772__1.9649817	UniClust90_FNPCGKEP01516|1__6|SGB84078
SRR33750958.9791747__1.9649793	UniClust90_KMEALJDO00327|1__5|SGB84078
SRR33750958.9791758__1.9649803	UniClust90_FNPCGKEP01516|1__6|SGB84078
SRR33750958.9793960__1.9651980	UniClust90_EJFOFLBH01811|1__5|SGB133091
SRR33750958.9797114__1.9655094	UniClust90_FCPHDNIE01715|9__12|SGB74780
SRR33750958.9797123__1.9655103	UniClust90_JMFJJCJA00050|1__6|SGB130007
SRR33750958.9799191__1.9657143	UniClust90_FNPCGKEP01699|1__4|SGB84078
SRR33750958.9801271__1.9659192	UniClust90_LLIEHLNH02915|1__12|SGB130007
SRR33750958.9801767__1.9659683	UniClust90_OCJAPFEA00140|1__12|SGB125949
SRR33750958.9802272__1.9660181	UniClust90_DEHNPGMG00716|1__6|SGB89423
SRR33750958.9802623__1.9660527	UniClust90_NOMIGGEC02314|1__11|SGB125949
SRR33750958.9803418__1.9661308	UniClust90_DPLIHBNC00377|1__16|SGB89725
SRR33750958.9803528__1.9661418	UniClust90_HNBLJKFC02303|6__13|SGB128778
SRR33750958.9803257__1.9661148	UniClust90_DIBLBONP01237|1__4|SGB84078
SRR33750958.9804406__1.9662287	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750958.9805936__1.9663795	UniClust90_BKEMCFBC02481|1__6|SGB131913
SRR33750958.9808595__1.9666417	UniClust90_EDNFDLAG00014|1__6|SGB84078
SRR33750958.9810300__1.9668105	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750958.9810361__1.9668165	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750958.9810421__1.9668225	UniClust90_IDPAEINK02024|1__16|SGB89725
SRR33750958.9810435__1.9668239	UniClust90_LHPBCBPG02823|2__8|SGB74780
SRR33750958.9810958__1.9668756	UniRef90_A0A1Q7B4C1|1__9|SGB56640
SRR33750958.9811399__1.9669190	UniClust90_BOKHIPMC00291|1__5|SGB130007
SRR33750958.9811113__1.9668909	UniClust90_OCJAPFEA00140|1__12|SGB125949
SRR33750958.9813557__1.9671320	UniClust90_FCPHDNIE03400|4__7|SGB74780
SRR33750958.9812984__1.9670750	UniClust90_NOMIGGEC04507|1__10|SGB125949
SRR33750958.9813978__1.9671735	UniClust90_PHKKGFAL03810|1__9|SGB133052
SRR33750958.9814249__1.9672000	UniRef90_A0A2V5MLU9|8__11|SGB52719
SRR33750958.9814176__1.9671929	UniRef90_A0A2V5MLU9|8__11|SGB52719
SRR33750958.9814382__1.9672131	UniRef90_A0A1Q7BT41|1__13|SGB56640
SRR33750958.9815081__1.9672822	UniRef90_J8E502|2__6|SGB7690
SRR33750958.9817668__1.9675385	UniClust90_KPGCMLFP01008|1__6|SGB89408
SRR33750958.9819362__1.9677052	UniRef90_A0A2V6DJ06|1__10|SGB22169
SRR33750958.9820258__1.9677934	UniClust90_ENBABIAF00052|1__7|SGB128778
SRR33750958.9820838__1.9678504	UniClust90_MGCMENJB04395|1__9|SGB185706
SRR33750958.9822100__1.9679751	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.9823046__1.9680689	UniClust90_EDNFDLAG02265|1__12|SGB84078
SRR33750958.9822831__1.9680475	UniClust90_ODALAGMH01223|1__5|SGB89423
SRR33750958.9823647__1.9681287	UniClust90_OALLKAFI06503|1__7|SGB84078
SRR33750958.9823757__1.9681397	UniClust90_EOFGAKMC00667|1__12|SGB84075
SRR33750958.9826792__1.9684385	UniRef90_A0A1Q7BT39|1__6|SGB56640
SRR33750958.9829129__1.9686699	UniClust90_GKMCGFLC00844|1__5|SGB133052
SRR33750958.9829788__1.9687348	UniClust90_GFFNGEKC02172|1__6|SGB56640
SRR33750958.9830109__1.9687662	UniClust90_ABOOFKJJ00662|1__17|SGB127159
SRR33750958.9830246__1.9687798	UniClust90_FNPCGKEP03862|1__5|SGB84078
SRR33750958.9830735__1.9688284	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750958.9832273__1.9689807	UniClust90_OAHKOOFD02431|1__5|SGB122526
SRR33750958.9833168__1.9690693	UniRef90_A0A2V6HJX3|1__3|SGB52717
SRR33750958.9832901__1.9690428	UniClust90_BOKHIPMC05241|1__6|SGB130007
SRR33750958.9833404__1.9690928	UniClust90_EJAHAFID00878|1__7|SGB130007
SRR33750958.9836095__1.9693583	UniClust90_GJEIHIOJ04062|1__7|SGB122526
SRR33750958.9837560__1.9695031	UniClust90_MEEHGGHD01943|1__16|SGB127159
SRR33750958.9837863__1.9695333	UniClust90_KIMIJBHB04448|1__22|SGB126432
SRR33750958.9838409__1.9695875	UniClust90_BOKHIPMC03426|1__8|SGB130007
SRR33750958.9839365__1.9696818	UniClust90_KMEALJDO02322|1__8|SGB84078
SRR33750958.9839427__1.9696880	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750958.9840366__1.9697803	UniRef90_UPI00101BAF4D|1__12|SGB30169
SRR33750958.9840637__1.9698069	UniClust90_PIHLJOEE02612|1__9|SGB84075
SRR33750958.9841259__1.9698684	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.9841754__1.9699174	UniClust90_BOKHIPMC04936|1__5|SGB130007
SRR33750958.9841871__1.9699290	UniClust90_HGJNCPHJ01376|1__12|SGB125949
SRR33750958.9842435__1.9699846	UniClust90_IDPAEINK00125|1__7|SGB89725
SRR33750958.9843179__1.9700579	UniRef90_A0A1Q7B5E0|5__12|SGB56640
SRR33750958.9843430__1.9700827	UniClust90_KMEALJDO02053|1__8|SGB84078
SRR33750958.9844841__1.9702227	UniClust90_KMEALJDO01981|1__11|SGB84078
SRR33750958.9845158__1.9702542	UniClust90_KMEALJDO01981|1__11|SGB84078
SRR33750958.9846743__1.9704116	UniClust90_PKMOJOJK00953|4__11|SGB84078
SRR33750958.9846942__1.9704315	UniClust90_LHPBCBPG01397|1__5|SGB74780
SRR33750958.9849530__1.9706875	UniClust90_NOMIGGEC01038|1__12|SGB125949
SRR33750958.9850074__1.9707418	UniClust90_DPJLILCC01622|1__9|SGB89725
SRR33750958.9849884__1.9707228	UniClust90_IABCABEO00205|1__8|SGB74789
SRR33750958.9850659__1.9708000	UniClust90_KIMIJBHB01430|1__26|SGB126432
SRR33750958.9850620__1.9707962	UniClust90_OKNLNMAL04662|1__13|SGB133129
SRR33750958.9851081__1.9708418	UniClust90_CKAHGCJD01011|1__5|SGB89423
SRR33750958.9851308__1.9708644	UniClust90_OKNLNMAL04662|1__13|SGB133129
SRR33750958.9851952__1.9709282	UniClust90_OJGLOKOM03741|1__7|SGB84075
SRR33750958.9853216__1.9710538	UniClust90_ALPEOPJM00390|1__15|SGB84331
SRR33750958.9853608__1.9710925	UniClust90_OCJAPFEA04909|1__14|SGB125949
SRR33750958.9853161__1.9710483	UniClust90_ALPEOPJM00390|1__15|SGB84331
SRR33750958.9854263__1.9711570	UniClust90_HGJNCPHJ04156|1__8|SGB125949
SRR33750958.9858145__1.9715388	UniClust90_EHKFGODG01628|1__9|SGB134112
SRR33750958.9858238__1.9715479	UniClust90_GPDICDPN01467|1__4|SGB89423
SRR33750958.9858581__1.9715815	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750958.9858849__1.9716081	UniClust90_BMEOLCHB05410|1__19|SGB73711
SRR33750958.9858864__1.9716096	UniClust90_PFBNAPOO00798|1__3|SGB89423
SRR33750958.9859278__1.9716505	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750958.9860542__1.9717750	UniRef90_A0A1V4SIC1|6__21|SGB13831
SRR33750958.9861165__1.9718365	UniClust90_HIBDPJBA05280|1__5|SGB131926
SRR33750958.9861756__1.9718951	UniClust90_HNBLJKFC01988|1__10|SGB128778
SRR33750958.9862116__1.9719303	UniClust90_OBEJBAOE01266|1__10|SGB128218
SRR33750958.9862610__1.9719781	UniClust90_OEAFLJII03709|2__15|SGB134782
SRR33750958.9862068__1.9719255	UniClust90_GMEAMNGB01054|2__7|SGB134112
SRR33750958.9862683__1.9719852	UniClust90_FNPCGKEP03897|2__6|SGB84078
SRR33750958.9864595__1.9721736	UniClust90_GJEIHIOJ02066|1__9|SGB122526
SRR33750958.9864251__1.9721396	UniRef90_A0A2V6P024|1__5|SGB52754
SRR33750958.9864832__1.9721969	UniClust90_OPLEJCPF02386|1__11|SGB125949
SRR33750958.9866265__1.9723381	UniClust90_DEHNPGMG01644|1__4|SGB89423
SRR33750958.9866632__1.9723738	UniClust90_KMEALJDO00550|3__6|SGB84078
SRR33750958.9867665__1.9724761	UniClust90_OJFAJFEC00252|1__6|SGB89423
SRR33750958.9868401__1.9725486	UniRef90_A0A1Q7BMJ0|2__5|SGB56640
SRR33750958.9868424__1.9725508	UniRef90_A0A1Q7BMJ0|2__5|SGB56640
SRR33750958.9869530__1.9726597	UniClust90_EHKFGODG01459|1__10|SGB134112
SRR33750958.9870588__1.9727644	UniClust90_OAHKOOFD01197|1__5|SGB122526
SRR33750958.9871391__1.9728436	UniClust90_MKPDLIIB01653|1__5|SGB131913
SRR33750958.9871397__1.9728442	UniClust90_MKPDLIIB01653|1__5|SGB131913
SRR33750958.9872411__1.9729443	UniClust90_OIPOEBPA03914|1__5|SGB84075
SRR33750958.9872852__1.9729877	UniClust90_CHMIEHDJ01806|3__6|SGB56640
SRR33750958.9872949__1.9729972	UniClust90_LLIEHLNH00803|1__7|SGB130007
SRR33750958.9873056__1.9730078	UniClust90_FJPBOFJK02441|1__10|SGB128677
SRR33750958.9873482__1.9730496	UniClust90_KAHJAFCN01057|1__7|SGB133052
SRR33750958.9875369__1.9732349	UniClust90_EHKFGODG00649|1__4|SGB134112
SRR33750958.9875398__1.9732378	UniClust90_PLNJEBMN00603|1__5|SGB133091
SRR33750958.9875689__1.9732667	UniClust90_CANGFCMM00422|1__6|SGB122683
SRR33750958.9876584__1.9733551	UniClust90_PLNJEBMN01753|7__10|SGB133091
SRR33750958.9876701__1.9733667	UniClust90_PLNJEBMN01753|7__10|SGB133091
SRR33750958.9876793__1.9733758	UniClust90_MDGCCGDH03758|1__9|SGB56640
SRR33750958.9876604__1.9733571	UniClust90_ICLCAGBO00189|1__5|SGB131913
SRR33750958.9877926__1.9734870	UniClust90_PFELKCFB03431|3__6|SGB89410
SRR33750958.9878971__1.9735901	UniClust90_OIPOEBPA04237|1__7|SGB84075
SRR33750958.9880606__1.9737513	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750958.9880075__1.9736990	UniRef90_A0A1Q7B5C4|2__6|SGB56640
SRR33750958.9881183__1.9738076	UniRef90_A0A1Q7BMJ0|2__5|SGB56640
SRR33750958.9882264__1.9739136	UniClust90_DIBLBONP01737|1__8|SGB84078
SRR33750958.9883352__1.9740210	UniClust90_OPLEJCPF02846|1__11|SGB125949
SRR33750958.9884341__1.9741182	UniClust90_GFHGLNMO01409|5__18|SGB133091
SRR33750958.9885524__1.9742342	UniClust90_FNPCGKEP01305|1__7|SGB84078
SRR33750958.9885606__1.9742423	UniClust90_EDNFDLAG02089|1__15|SGB84078
SRR33750958.9885609__1.9742426	UniClust90_EDNFDLAG02089|1__15|SGB84078
SRR33750958.9887260__1.9744056	UniClust90_NHHHKJJE03728|1__12|SGB125949
SRR33750958.9887635__1.9744425	UniClust90_HGJNCPHJ04065|1__12|SGB125949
SRR33750958.9887615__1.9744405	UniClust90_EJAHAFID04099|1__9|SGB130007
SRR33750958.9887998__1.9744783	UniRef90_A0A1Q7B5A3|1__5|SGB56640
SRR33750958.9892029__1.9748754	UniClust90_JOBGHFKE02769|1__8|SGB128677
SRR33750958.9895701__1.9752375	UniClust90_EJAHAFID02026|1__8|SGB130007
SRR33750958.9895809__1.9752481	UniClust90_IAFJOFII00595|1__14|SGB134112
SRR33750958.9896497__1.9753164	UniClust90_BKEMCFBC00133|1__16|SGB131913
SRR33750958.9897724__1.9754370	UniClust90_OCJAPFEA00140|1__12|SGB125949
SRR33750958.9897771__1.9754416	UniRef90_A0A1Q7BEL8|1__7|SGB56640
SRR33750958.9899787__1.9756407	UniClust90_NHHHKJJE02731|1__12|SGB125949
SRR33750958.9900582__1.9757195	VDB|0052-004A-0-0000|MV133-c1345-c0-c5
SRR33750958.9900599__1.9757212	VDB|0052-004A-0-0000|MV133-c1345-c0-c5
SRR33750958.9901742__1.9758340	UniClust90_AJOJABBL00436|1__4|SGB89423
SRR33750958.9901997__1.9758593	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.9901998__1.9758594	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.9902596__1.9759185	UniClust90_EDNFDLAG00532|1__6|SGB84078
SRR33750958.9903360__1.9759942	UniClust90_HGJNCPHJ00708|1__9|SGB125949
SRR33750958.9906102__1.9762645	UniRef90_A0A2V6KCP0|1__11|SGB52719
SRR33750958.9906683__1.9763215	UniClust90_IJHKGIGD01052|1__8|SGB128471
SRR33750958.9906938__1.9763467	UniClust90_IJHKGIGD01052|1__8|SGB128471
SRR33750958.9908379__1.9764890	UniRef90_A0A1S1TTV1|1__5|SGB184263
SRR33750958.9909436__1.9765932	UniClust90_MDGCCGDH03758|1__9|SGB56640
SRR33750958.9909329__1.9765826	UniClust90_OKNLNMAL02551|1__14|SGB133129
SRR33750958.9910803__1.9767287	UniClust90_NHHHKJJE01704|1__11|SGB125949
SRR33750958.9911805__1.9768281	UniRef90_A0A2V6IYU9|1__9|SGB22169
SRR33750958.9911998__1.9768471	UniClust90_JHNMEHIJ02458|1__5|SGB56640
SRR33750958.9912017__1.9768489	UniClust90_JINICEGA01527|1__8|SGB89423
SRR33750958.9912112__1.9768584	UniClust90_JHNMEHIJ02458|1__5|SGB56640
SRR33750958.9912675__1.9769133	UniClust90_OCJAPFEA03308|1__24|SGB125949
SRR33750958.9913498__1.9769938	UniClust90_JMFJJCJA00751|1__6|SGB130007
SRR33750958.9915675__1.9772094	UniRef90_A0A2V7FEN9|1__4|SGB56134
SRR33750958.9915973__1.9772385	UniClust90_EJAHAFID00079|1__7|SGB130007
SRR33750958.9917060__1.9773455	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750958.9917089__1.9773484	UniClust90_DBBCBONN01808|1__18|SGB126432
SRR33750958.9917581__1.9773971	UniRef90_UPI000378DE10|1__20|SGB30552
