SRR33750957.1655__1.1620	UniRef90_A0A2V6AUU0|1__6|SGB52714
SRR33750957.1955349__1.1933025	UniRef90_A0A1Q7BQQ4|1__5|SGB56640
SRR33750957.1959334__1.1936960	UniClust90_LGJBDPMI01430|1__6|SGB133334
SRR33750957.1963742__1.1941325	UniClust90_ENCMJEIO04788|1__15|SGB87004
SRR33750957.1963525__1.1941112	UniRef90_A0A1Q7BYA5|1__7|SGB56640
SRR33750957.1965530__1.1943093	UniRef90_A0A2V7E5I0|1__9|SGB24061
SRR33750957.1966414__1.1943972	UniClust90_PICJGFGP01662|5__8|SGB89423
SRR33750957.1966453__1.1944011	UniClust90_BOKHIPMC00291|1__5|SGB130007
SRR33750957.1967295__1.1944845	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750957.1967253__1.1944803	UniClust90_NNPMIMHE01583|1__4|SGB85772
SRR33750957.1968812__1.1946343	UniClust90_BGDHDLNA04617|1__7|SGB84075
SRR33750957.1969045__1.1946575	UniRef90_A0A1W1I0B0|1__9|SGB126064
SRR33750957.1970055__1.1947575	UniRef90_A0A1Q7BYA5|1__7|SGB56640
SRR33750957.1970791__1.1948302	UniRef90_A0A2V5NTD2|1__6|SGB52720
SRR33750957.1970890__1.1948400	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750957.1972974__1.1950461	UniClust90_BODOLCOE00974|3__7|SGB89423
SRR33750957.1972898__1.1950386	UniClust90_IOFPBIHC02689|1__9|SGB130007
SRR33750957.1972808__1.1950297	UniRef90_A0A1Q8B9C7|1__6|SGB17587
SRR33750957.1974330__1.1951803	UniClust90_GEHFPKBH00122|1__8|SGB84075
SRR33750957.1976005__1.1953457	UniRef90_A0A2V8KBD9|1__9|SGB17587
SRR33750957.1976310__1.1953759	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750957.1977289__1.1954724	UniClust90_ENBABIAF00671|1__11|SGB128778
SRR33750957.1978348__1.1955774	UniClust90_BLCHLCBI00485|1__8|SGB133090
SRR33750957.1978320__1.1955746	UniClust90_GIMAHFHH02073|1__9|SGB89408
SRR33750957.1978329__1.1955755	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750957.1979502__1.1956919	UniRef90_A0A1Q7BS20|1__6|SGB73517
SRR33750957.1979716__1.1957130	UniClust90_OIPOEBPA04237|1__7|SGB84075
SRR33750957.1983553__1.1960927	UniClust90_GIDCBJMF00454|1__9|SGB134112
SRR33750957.1983806__1.1961177	UniClust90_OEKPEMHO00872|1__10|SGB129874
SRR33750957.1984058__1.1961427	UniRef90_A0A2V5LFG8|1__4|SGB52719
SRR33750957.1984079__1.1961448	UniClust90_LACEKAON00372|9__19|SGB129874
SRR33750957.1986239__1.1963591	UniClust90_MDEMLJDA02655|1__9|SGB94605
SRR33750957.1987609__1.1964952	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750957.1988064__1.1965404	UniRef90_A0A2V8L318|1__11|SGB17587
SRR33750957.1988082__1.1965421	UniClust90_EJAHAFID00324|1__8|SGB130007
SRR33750957.1989716__1.1967040	UniRef90_A0A2V8JN49|1__7|SGB17587
SRR33750957.1991049__1.1968360	UniRef90_A0A1Q7B4C1|1__9|SGB56640
SRR33750957.1991573__1.1968878	UniClust90_PPJAIDOO01985|1__10|SGB84075
SRR33750957.1992611__1.1969903	UniRef90_A0A1Q7BT41|1__13|SGB56640
SRR33750957.1992769__1.1970055	UniClust90_EEMCGFAP00941|1__20|SGB128685
SRR33750957.1992750__1.1970036	UniClust90_LACEKAON03261|1__11|SGB129874
SRR33750957.1993556__1.1970835	UniRef90_A0A1Q8B8H7|1__5|SGB17587
SRR33750957.1993961__1.1971233	UniClust90_PLNJEBMN00829|1__6|SGB133091
SRR33750957.1994045__1.1971316	UniRef90_A0A2V6DJL7|1__8|SGB22169
SRR33750957.1994467__1.1971733	UniClust90_EDNFDLAG02239|1__11|SGB84078
SRR33750957.1994566__1.1971831	UniClust90_JCMEFMGF03781|1__15|SGB74780
SRR33750957.1994867__1.1972130	UniRef90_A0A357CG32|2__6|SGB89423
SRR33750957.1995743__1.1972991	UniClust90_ENCMJEIO05768|1__18|SGB87004
SRR33750957.1997095__1.1974322	UniClust90_BOKHIPMC02522|6__11|SGB130007
SRR33750957.2000198__1.1977395	UniRef90_A0A1Q7BY99|1__6|SGB56640
SRR33750957.2001023__1.1978212	UniClust90_HGJNCPHJ01223|1__14|SGB125949
SRR33750957.2001399__1.1978584	UniRef90_A0A2V8JM27|1__8|SGB17587
SRR33750957.2001509__1.1978693	UniClust90_LGJBDPMI01582|1__16|SGB133334
SRR33750957.2002288__1.1979466	UniClust90_IMMCPGKG00872|1__16|SGB128778
SRR33750957.2002816__1.1979989	UniRef90_A0A2V8KDM9|1__8|SGB17587
SRR33750957.2003371__1.1980538	UniRef90_A0A2V5YUE5|1__9|SGB52714
SRR33750957.2004220__1.1981385	UniClust90_EHIAFBHG01758|1__12|SGB128778
SRR33750957.2005587__1.1982733	UniClust90_EJAHAFID02026|1__8|SGB130007
SRR33750957.2005715__1.1982861	UniClust90_PEODAMJP01643|1__8|SGB128471
SRR33750957.2006323__1.1983463	UniClust90_DIBLBONP01702|3__13|SGB84078
SRR33750957.2006502__1.1983640	UniClust90_OJGLOKOM02225|1__9|SGB84075
SRR33750957.2008142__1.1985272	UniClust90_EJFOFLBH00564|1__3|SGB133091
SRR33750957.2011144__1.1988251	UniClust90_EDBNNBOB01175|1__5|SGB56640
SRR33750957.2011847__1.1988951	UniClust90_CKIMIKLI01727|1__15|SGB133129
SRR33750957.2013277__1.1990369	UniClust90_OJGLOKOM02225|1__9|SGB84075
SRR33750957.2013330__1.1990422	UniClust90_EDNFDLAG00321|6__16|SGB84078
SRR33750957.2013478__1.1990569	UniRef90_A0A2V5KHZ6|1__6|SGB52730
SRR33750957.2012471__1.1989568	UniClust90_NPCMNNGD03420|1__12|SGB130909
SRR33750957.2013208__1.1990301	UniClust90_NFGCGGNF01979|1__11|SGB73593
SRR33750957.2014552__1.1991632	UniRef90_A0A2V5SQ32|1__10|SGB52719
SRR33750957.2014719__1.1991797	UniClust90_EDNFDLAG00532|1__6|SGB84078
SRR33750957.2015832__1.1992900	UniRef90_A0A2V7K0R6|1__6|SGB55232
SRR33750957.2016647__1.1993705	UniClust90_IDPAEINK00126|1__8|SGB89725
SRR33750957.2018630__1.1995660	UniRef90_A0A2V8U1E5|1__17|SGB54509
SRR33750957.2020518__1.1997534	UniRef90_A0A2V8KC76|1__4|SGB17587
SRR33750957.2021231__1.1998242	UniClust90_GFFNGEKC03887|1__6|SGB56640
SRR33750957.2022252__1.1999250	UniClust90_OCJAPFEA01311|1__9|SGB125949
SRR33750957.2023005__1.1999995	UniRef90_A0A2V8GUA8|1__7|SGB17587
SRR33750957.2023313__1.2000300	UniClust90_GJEIHIOJ01490|1__5|SGB122526
SRR33750957.2024569__1.2001546	UniClust90_EJAHAFID00269|1__7|SGB130007
SRR33750957.2025045__1.2002020	UniRef90_A0A2V6ZIT9|2__6|SGB73551
SRR33750957.2025908__1.2002877	UniClust90_HOPPLHLN01739|1__17|SGB128471
SRR33750957.2026031__1.2003000	UniClust90_PEODAMJP00904|1__8|SGB128471
SRR33750957.2025820__1.2002789	UniClust90_EDBNNBOB01006|1__3|SGB56640
SRR33750957.2027971__1.2004916	UniClust90_DIBLBONP00861|1__7|SGB84078
SRR33750957.2032996__1.2009903	UniClust90_BMEOLCHB05410|1__19|SGB73711
SRR33750957.2033043__1.2009950	UniClust90_OEKPEMHO00872|1__10|SGB129874
SRR33750957.2035348__1.2012234	UniClust90_DPLIHBNC01385|4__12|SGB89725
SRR33750957.2035460__1.2012345	UniClust90_EOFGAKMC01068|1__8|SGB84075
SRR33750957.2037630__1.2014502	UniClust90_EJAHAFID03699|1__5|SGB130007
SRR33750957.2037453__1.2014326	UniRef90_A0A2V5LEP9|1__7|SGB52720
SRR33750957.2038701__1.2015560	UniClust90_PPDCKKGL00670|1__9|SGB133090
SRR33750957.2039330__1.2016179	UniClust90_IDGGEJIK01552|1__6|SGB56638
SRR33750957.2040927__1.2017756	UniClust90_ODHKCIBJ01401|1__5|SGB89423
SRR33750957.2042716__1.2019520	UniClust90_LDOGOBHG00757|1__20|SGB125634
SRR33750957.2043762__1.2020560	UniClust90_BGDHDLNA04491|1__13|SGB84075
SRR33750957.2043154__1.2019954	UniClust90_ECOHMLGB00750|1__11|SGB56640
SRR33750957.2044124__1.2020919	UniClust90_BHLGKCAN03129|1__6|SGB56640
SRR33750957.2047291__1.2024056	UniClust90_BGDHDLNA04491|1__13|SGB84075
SRR33750957.2047212__1.2023977	UniClust90_IJHKGIGD02524|1__10|SGB128471
SRR33750957.2046943__1.2023710	UniClust90_GJEIHIOJ01490|1__5|SGB122526
SRR33750957.2049703__1.2026448	UniClust90_PJKCPLGD01356|1__8|SGB89423
SRR33750957.2050474__1.2027215	UniClust90_IDPAEINK02216|1__6|SGB89725
SRR33750957.2051409__1.2028144	UniRef90_A0A2V6DCQ0|1__7|SGB22169
SRR33750957.2054136__1.2030845	UniClust90_AOMEFECO00584|3__6|SGB133090
SRR33750957.2056041__1.2032724	UniClust90_EJFOFLBH00638|1__12|SGB133091
SRR33750957.2056596__1.2033275	UniClust90_HNBLJKFC00336|1__8|SGB128778
SRR33750957.2056684__1.2033363	UniClust90_BOAKGFPK05954|1__22|SGB130909
SRR33750957.2057334__1.2034008	UniClust90_DJBDGBNB03164|1__3|SGB89725
SRR33750957.2058443__1.2035107	UniClust90_JKONEDMA00395|1__7|SGB130007
SRR33750957.2058372__1.2035036	UniClust90_EOFGAKMC00667|1__12|SGB84075
SRR33750957.2061093__1.2037723	UniClust90_IDLPEBOO01331|1__5|SGB73693
SRR33750957.2062282__1.2038903	UniClust90_CMHDMJOM04085|1__6|SGB56640
SRR33750957.2062650__1.2039268	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750957.2063723__1.2040332	UniClust90_EJAHAFID03224|1__13|SGB130007
SRR33750957.2063867__1.2040476	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.2064259__1.2040867	UniClust90_EJAHAFID03224|1__13|SGB130007
SRR33750957.2064717__1.2041320	UniClust90_KJNIOPKL03310|1__5|SGB56638
SRR33750957.2065687__1.2042285	UniClust90_PLNJEBMN00393|13__18|SGB133091
SRR33750957.2065308__1.2041907	UniClust90_DIBLBONP00861|1__7|SGB84078
SRR33750957.2066745__1.2043331	UniClust90_JBMBCDML00318|1__3|SGB89725
SRR33750957.2066894__1.2043476	UniClust90_KJNIOPKL03310|1__5|SGB56638
SRR33750957.2068153__1.2044727	UniRef90_A0A1Q7BRI3|2__5|SGB56638
SRR33750957.2067885__1.2044459	UniClust90_OEKPEMHO01704|1__22|SGB129874
SRR33750957.2068853__1.2045416	UniClust90_OEKPEMHO02014|1__9|SGB129874
SRR33750957.2069434__1.2045997	UniRef90_A0A2V8H6F1|1__4|SGB17587
SRR33750957.2070380__1.2046929	UniRef90_A0A1Q7BHH1|1__10|SGB56640
SRR33750957.2070422__1.2046970	UniClust90_DAODNPOA02225|1__8|SGB89725
SRR33750957.2070460__1.2047008	UniClust90_PIHLJOEE01054|1__7|SGB84075
SRR33750957.2070467__1.2047015	UniClust90_OEKPEMHO02011|1__13|SGB129874
SRR33750957.2070608__1.2047156	UniClust90_BAIFHGKB03648|4__17|SGB131188
SRR33750957.2071612__1.2048153	UniClust90_CMHDMJOM00891|1__9|SGB56640
SRR33750957.2073030__1.2049563	UniRef90_A0A2V6V430|4__7|SGB73551
SRR33750957.2073807__1.2050333	UniClust90_EDBNNBOB01006|1__3|SGB56640
SRR33750957.2075009__1.2051522	UniClust90_HNBLJKFC00190|1__11|SGB128778
SRR33750957.2075534__1.2052041	UniClust90_EJAHAFID00710|1__7|SGB130007
SRR33750957.2076795__1.2053291	UniClust90_MDGCCGDH03367|2__7|SGB56640
SRR33750957.2077362__1.2053852	UniClust90_HMPPKHGP01982|4__8|SGB133091
SRR33750957.2078357__1.2054837	UniRef90_A0A2V6HVT5|1__4|SGB52730
SRR33750957.2079135__1.2055612	UniClust90_OCJAPFEA04719|1__9|SGB125949
SRR33750957.2080227__1.2056693	UniClust90_LACEKAON03331|1__14|SGB129874
SRR33750957.2080625__1.2057087	UniRef90_A0A2V8GTH9|1__13|SGB17587
SRR33750957.2083178__1.2059618	UniClust90_ENBABIAF01020|1__7|SGB128778
SRR33750957.2083855__1.2060289	UniClust90_NPCMNNGD00873|1__16|SGB130909
SRR33750957.2084813__1.2061242	UniRef90_UPI00101D2B57|1__16|SGB30169
SRR33750957.2084759__1.2061188	UniClust90_PLCOEDNE01312|1__12|SGB125699
SRR33750957.2084956__1.2061383	UniClust90_GHPINBAM01249|1__5|SGB84331
SRR33750957.2086473__1.2062883	UniRef90_A0A2V8KYU2|1__7|SGB17587
SRR33750957.2086534__1.2062943	UniRef90_A0A2V7PFE6|1__4|SGB24043
SRR33750957.2087288__1.2063693	UniRef90_A0A1Q7BF67|1__6|SGB56638
SRR33750957.2087317__1.2063722	UniClust90_NHHHKJJE00913|1__11|SGB125949
SRR33750957.2088569__1.2064962	UniClust90_CIDGHOOC03122|1__18|SGB86517
SRR33750957.2088489__1.2064883	UniRef90_A0A2V8KW79|1__6|SGB17587
SRR33750957.2089103__1.2065493	UniClust90_IOFPBIHC01724|1__6|SGB130007
SRR33750957.2089539__1.2065924	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750957.2090732__1.2067101	UniClust90_NOMIGGEC01663|1__12|SGB125949
SRR33750957.2091114__1.2067480	UniClust90_CHMIEHDJ02503|1__6|SGB56640
SRR33750957.2094941__1.2071273	UniClust90_EJFOFLBH01963|4__8|SGB133091
SRR33750957.2095319__1.2071649	UniClust90_EJAHAFID00269|1__7|SGB130007
SRR33750957.2097329__1.2073637	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750957.2097145__1.2073455	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750957.2097370__1.2073678	UniClust90_FCKBNHJJ00265|1__5|SGB86769
SRR33750957.2097722__1.2074025	UniClust90_LACEKAON04151|1__11|SGB129874
SRR33750957.2098239__1.2074538	UniClust90_LACEKAON04151|1__11|SGB129874
SRR33750957.2099072__1.2075360	UniClust90_CMHDMJOM01131|4__9|SGB56640
SRR33750957.2101990__1.2078256	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750957.2102641__1.2078904	UniClust90_NGCGJAHI00291|1__7|SGB54456
SRR33750957.2102651__1.2078914	UniRef90_A0A1Q7B556|3__8|SGB56640
SRR33750957.2103315__1.2079568	UniRef90_A0A2V5KWI1|1__10|SGB52720
SRR33750957.2103450__1.2079702	UniClust90_BGDHDLNA01983|1__6|SGB84075
SRR33750957.2104533__1.2080772	UniClust90_EOFGAKMC00632|1__7|SGB84075
SRR33750957.2105131__1.2081363	UniClust90_CBDIOHJF00730|1__10|SGB89725
SRR33750957.2105298__1.2081529	UniClust90_FCPHDNIE01787|1__4|SGB74780
SRR33750957.2107617__1.2083830	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.2107695__1.2083907	UniClust90_HGAMACDH00869|1__8|SGB128778
SRR33750957.2108926__1.2085126	UniRef90_A0A1Q7BHU7|1__5|SGB56640
SRR33750957.2109202__1.2085398	UniRef90_A0A2V5L7X2|1__8|SGB52720
SRR33750957.2110321__1.2086508	UniClust90_PKNCJFOJ01298|9__13|SGB56640
SRR33750957.2109943__1.2086132	UniRef90_A0A2V8U881|1__24|SGB54509
SRR33750957.2114342__1.2090498	UniRef90_A0A2V8KTQ5|1__4|SGB17587
SRR33750957.2114956__1.2091108	UniRef90_A0A2V8L770|2__9|SGB17587
SRR33750957.2115964__1.2092111	UniClust90_BOKHIPMC03538|1__5|SGB130007
SRR33750957.2116232__1.2092377	UniClust90_AOMEFECO00930|1__3|SGB133090
SRR33750957.2116625__1.2092769	UniClust90_KIHGAKFE02363|1__7|SGB128778
SRR33750957.2116913__1.2093054	UniClust90_BGDHDLNA04491|1__13|SGB84075
SRR33750957.2117704__1.2093834	UniClust90_FNPCGKEP00283|1__5|SGB84078
SRR33750957.2118970__1.2095093	UniRef90_A0A2V8JEC1|1__9|SGB17587
SRR33750957.2118730__1.2094856	UniClust90_HOPPLHLN00904|1__16|SGB128471
SRR33750957.2119088__1.2095211	UniClust90_EHIAFBHG01547|1__11|SGB128778
SRR33750957.2118759__1.2094885	UniClust90_IPBGJNGD03523|2__10|SGB89408
SRR33750957.2120404__1.2096510	UniClust90_HNBLJKFC01396|17__24|SGB128778
SRR33750957.2120481__1.2096587	UniClust90_DONCHACG03985|1__10|SGB73712
SRR33750957.2120899__1.2097004	UniClust90_PIHLJOEE01276|1__7|SGB84075
SRR33750957.2122339__1.2098429	UniRef90_A0A1Q7BPJ2|1__6|SGB56640
SRR33750957.2123679__1.2099760	UniClust90_OEKPEMHO01212|1__11|SGB129874
SRR33750957.2126871__1.2102932	UniClust90_LLIEHLNH01141|5__12|SGB130007
SRR33750957.2128694__1.2104741	UniClust90_LACEKAON04554|1__10|SGB129874
SRR33750957.2129323__1.2105369	UniClust90_LACEKAON00692|1__11|SGB129874
SRR33750957.2129697__1.2105740	UniClust90_PPJAIDOO03964|1__9|SGB84075
SRR33750957.2130323__1.2106361	UniClust90_HOMJAIDI01562|1__5|SGB89423
SRR33750957.2132289__1.2108317	UniClust90_LCGOAMKJ01142|1__5|SGB73718
SRR33750957.2132393__1.2108420	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.2133286__1.2109304	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.2133184__1.2109204	UniRef90_A0A3D5DS77|2__6|SGB130007
SRR33750957.2134317__1.2110332	UniRef90_A0A0R3MN12|1__9|SGB11343
SRR33750957.2135010__1.2111017	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750957.2135521__1.2111526	UniClust90_GMEAMNGB01471|1__5|SGB134112
SRR33750957.2136260__1.2112258	UniRef90_A0A1Q7BLE5|1__7|SGB73517
SRR33750957.2136179__1.2112177	UniClust90_OIPOEBPA02071|1__9|SGB84075
SRR33750957.2137086__1.2113074	UniClust90_IGKPANEM03241|1__22|SGB128987
SRR33750957.2138731__1.2114694	UniClust90_NHHHKJJE00195|1__9|SGB125949
SRR33750957.2140896__1.2116843	UniRef90_A0A2V8IAJ6|1__5|SGB17587
SRR33750957.2142514__1.2118446	UniClust90_PPJAIDOO03505|1__5|SGB84075
SRR33750957.2142259__1.2118194	UniClust90_EHIAFBHG01547|1__11|SGB128778
SRR33750957.2143142__1.2119069	UniClust90_MDGCCGDH01361|1__8|SGB56640
SRR33750957.2143746__1.2119668	UniClust90_IBMDDACE00829|1__8|SGB128778
SRR33750957.2144798__1.2120714	UniClust90_BMEOLCHB05410|1__19|SGB73711
SRR33750957.2145301__1.2121213	UniClust90_JPCCCENE01257|1__5|SGB58461
SRR33750957.2145842__1.2121749	UniClust90_ENBABIAF00927|1__8|SGB128778
SRR33750957.2146595__1.2122492	UniClust90_EDNFDLAG00998|1__4|SGB84078
SRR33750957.2147649__1.2123537	UniClust90_BOKHIPMC02014|1__6|SGB130007
SRR33750957.2149633__1.2125484	UniClust90_BOKHIPMC03210|1__11|SGB130007
SRR33750957.2150197__1.2126044	UniClust90_IDPAEINK02204|1__5|SGB89725
SRR33750957.2150269__1.2126115	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750957.2150813__1.2126650	UniClust90_PPJAIDOO03630|1__10|SGB84075
SRR33750957.2155218__1.2130978	UniClust90_ENINCPCC02407|1__7|SGB173077
SRR33750957.2155702__1.2131456	UniClust90_ENBABIAF01872|5__11|SGB128778
SRR33750957.2156079__1.2131829	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750957.2156351__1.2132098	UniRef90_A0A2V8JQN3|21__26|SGB17587
SRR33750957.2155953__1.2131705	UniClust90_FNPCGKEP01720|1__3|SGB84078
SRR33750957.2156639__1.2132381	UniClust90_ENINCPCC02407|1__7|SGB173077
SRR33750957.2157218__1.2132947	UniClust90_ENINCPCC02407|1__7|SGB173077
SRR33750957.2158009__1.2133724	UniClust90_JBMBCDML01852|1__4|SGB89725
SRR33750957.2157581__1.2133303	UniClust90_NHHHKJJE00913|1__11|SGB125949
SRR33750957.2158172__1.2133887	UniClust90_PIHLJOEE00258|1__13|SGB84075
SRR33750957.2158819__1.2134523	UniClust90_EOFGAKMC00668|1__7|SGB84075
SRR33750957.2158870__1.2134572	UniRef90_A0A2V8IAJ6|1__5|SGB17587
SRR33750957.2159545__1.2135236	UniClust90_JBMBCDML01852|1__4|SGB89725
SRR33750957.2160884__1.2136552	UniClust90_JBGFDMNO01383|1__7|SGB56638
SRR33750957.2162883__1.2138525	UniRef90_A0A1Q7NCW6|1__6|SGB17587
SRR33750957.2164084__1.2139707	UniClust90_ECOHMLGB00268|1__5|SGB56640
SRR33750957.2168237__1.2143798	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750957.2169409__1.2144959	UniClust90_IBMDDACE01790|1__13|SGB128778
SRR33750957.2169967__1.2145508	UniClust90_MELOLLPK00047|1__5|SGB133334
SRR33750957.2169645__1.2145191	UniClust90_PEODAMJP00677|1__9|SGB128471
SRR33750957.2171096__1.2146615	UniClust90_GBLMBOPO00547|2__5|SGB133090
SRR33750957.2172335__1.2147840	UniClust90_DPJLILCC01932|1__5|SGB89725
SRR33750957.2173264__1.2148761	UniRef90_A0A1Q7BHY6|1__8|SGB56640
SRR33750957.2176659__1.2152106	UniClust90_IDPAEINK02474|3__6|SGB89725
SRR33750957.2178653__1.2154068	UniClust90_EMAEKJAG00188|1__11|SGB128987
SRR33750957.2179796__1.2155192	UniRef90_A0A1Q7NBV6|2__9|SGB17587
SRR33750957.2180567__1.2155952	UniClust90_BOKHIPMC02422|1__5|SGB130007
SRR33750957.2181321__1.2156691	UniClust90_EJFOFLBH00818|4__7|SGB133091
SRR33750957.2182265__1.2157621	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750957.2183201__1.2158545	UniClust90_PIHLJOEE04721|1__6|SGB84075
SRR33750957.2185760__1.2161044	UniClust90_DJBDGBNB01992|1__4|SGB89725
SRR33750957.2185985__1.2161268	UniClust90_OCJAPFEA00421|1__10|SGB125949
SRR33750957.2187141__1.2162406	UniClust90_ENBABIAF00038|1__9|SGB128778
SRR33750957.2188202__1.2163444	UniClust90_EDBNNBOB01006|1__3|SGB56640
SRR33750957.2189171__1.2164397	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.2190168__1.2165376	UniClust90_NOMIGGEC02686|1__9|SGB125949
SRR33750957.2193873__1.2169014	UniClust90_KDDPKKIL00052|1__10|SGB128471
SRR33750957.2193742__1.2168883	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.2195016__1.2170137	UniRef90_A0A2V8L0L3|1__6|SGB17587
SRR33750957.2196618__1.2171707	UniRef90_A0A1Q7BJI7|1__5|SGB56640
SRR33750957.2197247__1.2172324	UniClust90_FPPJKHLH01751|1__8|SGB126808
SRR33750957.2198404__1.2173469	UniRef90_A0A2V5L3M9|1__5|SGB52720
SRR33750957.2200014__1.2175050	UniClust90_FNPCGKEP00825|1__3|SGB84078
SRR33750957.2201218__1.2176233	UniRef90_A0A2V5J9F9|1__6|SGB52720
SRR33750957.2201259__1.2176274	UniClust90_CHMIEHDJ00800|1__7|SGB56640
SRR33750957.2201347__1.2176360	UniClust90_CHMIEHDJ00800|1__7|SGB56640
SRR33750957.2201498__1.2176507	UniClust90_NNEGPIJI03716|1__11|SGB127159
SRR33750957.2202391__1.2177383	UniRef90_A0A1Q7B7D8|6__9|SGB56638
SRR33750957.2203495__1.2178484	UniClust90_HMBBEJFF01331|1__11|SGB128948
SRR33750957.2203826__1.2178813	UniClust90_CKDECKMG00216|1__16|SGB133121
SRR33750957.2204558__1.2179532	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750957.2205711__1.2180665	UniClust90_GBLMBOPO01054|11__16|SGB133090
SRR33750957.2205333__1.2180294	UniRef90_A0A2V7PJB7|1__5|SGB24043
SRR33750957.2204314__1.2179293	UniClust90_GMEAMNGB01732|1__9|SGB134112
SRR33750957.2208669__1.2183585	UniClust90_BHLGKCAN02232|1__6|SGB56640
SRR33750957.2209630__1.2184533	UniRef90_A0A1Q7B562|1__6|SGB56640
SRR33750957.2209782__1.2184682	UniRef90_A0A2V8K7L7|1__4|SGB17587
SRR33750957.2209889__1.2184782	UniRef90_A0A2V8K7L7|1__4|SGB17587
SRR33750957.2210336__1.2185224	UniClust90_DPJLILCC01625|1__10|SGB89725
SRR33750957.2210998__1.2185876	UniClust90_ANDLCEDJ01466|1__3|SGB133091
SRR33750957.2211118__1.2185992	UniClust90_CKDECKMG00344|1__11|SGB133121
SRR33750957.2210973__1.2185851	UniClust90_BOKHIPMC04551|1__10|SGB130007
SRR33750957.2212382__1.2187241	UniClust90_EEMCGFAP02888|1__14|SGB128685
SRR33750957.2212999__1.2187856	UniClust90_ANDLCEDJ01466|1__3|SGB133091
SRR33750957.2213612__1.2188460	UniRef90_A0A2V5RME7|1__5|SGB52719
SRR33750957.2217396__1.2192194	UniClust90_BGDHDLNA07467|1__10|SGB84075
SRR33750957.2218108__1.2192894	UniClust90_BOKHIPMC00669|1__11|SGB130007
SRR33750957.2221416__1.2196150	UniRef90_A0A2V8JIT0|1__16|SGB22097
SRR33750957.2223848__1.2198541	UniRef90_UPI0003F936F0|1__18|SGB31952
SRR33750957.2224427__1.2199118	UniClust90_HNBLJKFC00678|1__15|SGB128778
SRR33750957.2225117__1.2199796	UniClust90_OPLEJCPF01504|1__12|SGB125949
SRR33750957.2225088__1.2199767	UniRef90_A0A2V5TCR2|1__14|SGB52719
SRR33750957.2228168__1.2202796	UniClust90_AOMEFECO00986|1__9|SGB133090
SRR33750957.2227557__1.2202199	UniClust90_DJBDGBNB01191|5__11|SGB89725
SRR33750957.2230066__1.2204669	UniClust90_PIHLJOEE02854|1__12|SGB84075
SRR33750957.2230471__1.2205072	UniClust90_OJGLOKOM02845|1__6|SGB84075
SRR33750957.2230654__1.2205249	UniClust90_OJFFJDAM01621|1__3|SGB89423
SRR33750957.2231389__1.2205977	UniClust90_EJFOFLBH00390|1__3|SGB133091
SRR33750957.2231558__1.2206145	UniClust90_JMFJJCJA03494|1__9|SGB130007
SRR33750957.2231583__1.2206170	UniClust90_LLIEHLNH02423|1__9|SGB130007
SRR33750957.2232614__1.2207190	UniRef90_UPI00106607CC|1__9|SGB34620
SRR33750957.2233002__1.2207575	UniClust90_PIHLJOEE02854|1__12|SGB84075
SRR33750957.2233108__1.2207681	UniClust90_DPLIHBNC01576|1__6|SGB89725
SRR33750957.2233606__1.2208174	UniClust90_KMBCNKEG00648|1__3|SGB56638
SRR33750957.2235342__1.2209885	UniClust90_ICLCAGBO02025|1__6|SGB131913
SRR33750957.2236148__1.2210677	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750957.2236189__1.2210716	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750957.2237202__1.2211717	UniClust90_KMEALJDO01981|1__11|SGB84078
SRR33750957.2238416__1.2212917	UniClust90_HGJNCPHJ01094|1__14|SGB125949
SRR33750957.2239829__1.2214309	UniClust90_KDDPKKIL03280|10__20|SGB128471
SRR33750957.2240194__1.2214665	UniClust90_DIBLBONP01702|3__13|SGB84078
SRR33750957.2240443__1.2214911	UniRef90_A0A1Q7B4M3|1__6|SGB73517
SRR33750957.2242010__1.2216456	UniClust90_KIHGAKFE01855|1__23|SGB128778
SRR33750957.2241097__1.2215557	UniClust90_NPCMNNGD04320|1__12|SGB130909
