SRR33750934.1002__1.987	UniRef90_A0A1Q7B5C4|2__6|SGB56640
SRR33750934.6199689__1.6121679	UniRef90_A0A2V5YZE4|1__17|SGB52714
SRR33750934.6199744__1.6121733	UniClust90_IBNNDEFK00344|1__11|SGB89408
SRR33750934.6200608__1.6122592	UniClust90_NHHHKJJE01449|1__10|SGB125949
SRR33750934.6201355__1.6123332	UniClust90_NHHHKJJE01013|1__8|SGB125949
SRR33750934.6202574__1.6124541	UniClust90_JJIPPMBI01264|8__13|SGB133090
SRR33750934.6203153__1.6125110	UniClust90_DAODNPOA02748|2__11|SGB89725
SRR33750934.6205194__1.6127123	UniClust90_NECMKPAF02114|1__23|SGB89408
SRR33750934.6205513__1.6127438	UniClust90_BOKHIPMC04224|1__5|SGB130007
SRR33750934.6205861__1.6127784	UniRef90_A0A1Q7B9J9|1__4|SGB56640
SRR33750934.6206534__1.6128456	UniClust90_OELLCOID02699|1__12|SGB128218
SRR33750934.6206805__1.6128725	UniClust90_OPLEJCPF01626|1__13|SGB125949
SRR33750934.6207262__1.6129178	UniClust90_EBKBLHBP00075|1__9|SGB133090
SRR33750934.6209272__1.6131169	UniClust90_DPLIHBNC01178|1__7|SGB89725
SRR33750934.6209802__1.6131696	UniClust90_PIHLJOEE02854|1__12|SGB84075
SRR33750934.6210837__1.6132710	UniClust90_KIMNEABG01600|1__5|SGB131913
SRR33750934.6210920__1.6132793	UniClust90_DJBDGBNB02813|1__4|SGB89725
SRR33750934.6211482__1.6133351	UniClust90_DJBDGBNB02813|1__4|SGB89725
SRR33750934.6212666__1.6134522	UniClust90_PEMFFBNE00474|1__6|SGB74789
SRR33750934.6212648__1.6134504	UniClust90_DFAMFFON01016|1__13|SGB130457
SRR33750934.6215963__1.6137788	UniRef90_A0A1Q7BJK5|1__10|SGB73517
SRR33750934.6216157__1.6137980	UniClust90_MKPDLIIB02374|1__7|SGB131913
SRR33750934.6216508__1.6138328	UniClust90_LBKMPKPO03562|1__5|SGB87008
SRR33750934.6216582__1.6138402	UniClust90_GBHLOFGN01818|1__10|SGB122666
SRR33750934.6216886__1.6138700	UniClust90_PFBNAPOO00993|2__6|SGB89423
SRR33750934.6217337__1.6139147	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750934.6217397__1.6139207	UniClust90_KMEALJDO01266|1__4|SGB84078
SRR33750934.6218681__1.6140480	UniClust90_PPJAIDOO01985|1__10|SGB84075
SRR33750934.6219968__1.6141753	UniClust90_LLIEHLNH02861|1__7|SGB130007
SRR33750934.6219995__1.6141779	UniClust90_LLIEHLNH02861|1__7|SGB130007
SRR33750934.6219753__1.6141539	UniClust90_BOKHIPMC01063|1__5|SGB130007
SRR33750934.6220314__1.6142091	UniClust90_JOBGHFKE01805|1__13|SGB128677
SRR33750934.6221536__1.6143303	UniClust90_JBMBCDML01850|4__7|SGB89725
SRR33750934.6221859__1.6143622	UniClust90_PKMOJOJK03136|1__3|SGB84078
SRR33750934.6222216__1.6143975	UniClust90_PEMFFBNE00405|1__12|SGB74789
SRR33750934.6222146__1.6143905	UniClust90_CHMIEHDJ02211|1__6|SGB56640
SRR33750934.6222275__1.6144033	UniClust90_FNPCGKEP01519|1__5|SGB84078
SRR33750934.6222371__1.6144127	UniClust90_GANILFCG01315|1__8|SGB74789
SRR33750934.6223243__1.6144989	UniClust90_FNPCGKEP01518|1__7|SGB84078
SRR33750934.6225697__1.6147412	UniClust90_HGJNCPHJ04706|1__10|SGB125949
SRR33750934.6225711__1.6147426	UniClust90_OCCAFAEL00313|1__3|SGB74789
SRR33750934.6225874__1.6147587	UniClust90_OJGLOKOM00687|1__4|SGB84075
SRR33750934.6229743__1.6151418	UniClust90_GMKONCKM00188|1__7|SGB89423
SRR33750934.6232253__1.6153903	UniClust90_GHPINBAM01249|1__5|SGB84331
SRR33750934.6232591__1.6154240	UniClust90_KCHKGHFE01919|1__18|SGB173533
SRR33750934.6232678__1.6154325	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750934.6232885__1.6154531	UniClust90_CKAHGCJD01011|7__13|SGB89423
SRR33750934.6234043__1.6155679	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750934.6236485__1.6158093	UniClust90_ACDABMLJ00709|2__5|SGB133090
SRR33750934.6237229__1.6158828	UniClust90_HOPPLHLN01180|1__8|SGB128471
SRR33750934.6237595__1.6159191	UniClust90_BKEMCFBC01857|1__7|SGB131913
SRR33750934.6237153__1.6158752	UniClust90_JMFJJCJA05802|1__6|SGB130007
SRR33750934.6238009__1.6159598	UniRef90_A0A1Q7BBC4|1__6|SGB73517
SRR33750934.6238881__1.6160454	UniClust90_EJAHAFID01095|1__8|SGB130007
SRR33750934.6239357__1.6160924	UniRef90_A0A1Q7BDI5|1__10|SGB56640
SRR33750934.6240610__1.6162160	UniRef90_A0A0R3N5I0|1__7|SGB11343
SRR33750934.6241262__1.6162806	UniClust90_EKCLMAKM04097|1__10|SGB89408
SRR33750934.6241551__1.6163092	UniClust90_JMFJJCJA01029|1__6|SGB130007
SRR33750934.6241891__1.6163427	UniClust90_NOMIGGEC04189|1__9|SGB125949
SRR33750934.6243357__1.6164879	UniClust90_LMGIEGHF00476|1__24|SGB135184
SRR33750934.6243423__1.6164945	UniClust90_EDAGLFJF03746|1__8|SGB82439
SRR33750934.6246573__1.6168063	UniClust90_AGBJGNAA00277|1__8|SGB74789
SRR33750934.6246629__1.6168119	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.6247182__1.6168666	UniClust90_LLHLEBOE01435|1__4|SGB89423
SRR33750934.6248028__1.6169497	UniClust90_PICJGFGP02237|1__6|SGB89423
SRR33750934.6249317__1.6170776	UniClust90_IPBGJNGD00190|1__7|SGB89408
SRR33750934.6250055__1.6171506	UniClust90_PKCJLHDA00360|1__9|SGB89408
SRR33750934.6250941__1.6172379	UniClust90_BGMDAEJF02021|1__12|SGB122526
SRR33750934.6251233__1.6172667	UniClust90_GCEPBNKN01998|1__5|SGB122683
SRR33750934.6251612__1.6173041	UniClust90_OJFAJFEC01069|1__3|SGB89423
SRR33750934.6253099__1.6174509	UniClust90_JKKHKAPH02384|1__20|SGB89408
SRR33750934.6253934__1.6175326	UniClust90_OPFCPGGL00594|1__3|SGB89423
SRR33750934.6253469__1.6174870	UniClust90_OPFCPGGL00594|1__3|SGB89423
SRR33750934.6254729__1.6176115	UniRef90_A0A2V5R3D6|1__12|SGB52719
SRR33750934.6254829__1.6176214	UniClust90_IFKBCCIP01002|1__18|SGB173225
SRR33750934.6257075__1.6178411	UniClust90_JMJHPHJK01471|1__7|SGB134112
SRR33750934.6257594__1.6178925	UniClust90_EAKADGJF05266|1__5|SGB131926
SRR33750934.6258597__1.6179916	UniRef90_A0A1Q8B7J7|1__7|SGB17587
SRR33750934.6259770__1.6181064	UniClust90_BGDHDLNA04821|1__5|SGB84075
SRR33750934.6260704__1.6181978	UniClust90_CKIMIKLI02397|1__13|SGB133129
SRR33750934.6261034__1.6182305	UniClust90_DPLIHBNC01349|1__19|SGB89725
SRR33750934.6261460__1.6182725	UniClust90_OEAFLJII02796|1__24|SGB134782
SRR33750934.6261499__1.6182764	UniRef90_A0A2A8SH97|1__13|SGB7708
SRR33750934.6261501__1.6182766	UniClust90_OEAFLJII02796|1__24|SGB134782
SRR33750934.6261747__1.6183007	UniClust90_JKKHKAPH04527|1__12|SGB89408
SRR33750934.6262196__1.6183445	UniClust90_BOKHIPMC04801|1__7|SGB130007
SRR33750934.6262416__1.6183665	UniClust90_BOKHIPMC04801|1__7|SGB130007
SRR33750934.6262457__1.6183706	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750934.6263903__1.6185131	UniRef90_A0A2V5JGN0|1__13|SGB52730
SRR33750934.6264601__1.6185818	UniRef90_A0A1Q7BYR1|1__6|SGB56640
SRR33750934.6266208__1.6187408	UniClust90_GFFNGEKC02053|1__7|SGB56640
SRR33750934.6266517__1.6187716	UniClust90_FNPCGKEP00614|1__6|SGB84078
SRR33750934.6266579__1.6187778	UniClust90_PENAMJII00065|1__7|SGB55924
SRR33750934.6269333__1.6190485	UniClust90_AOMEFECO01387|5__13|SGB133090
SRR33750934.6269685__1.6190830	UniClust90_IOFPBIHC03763|1__9|SGB130007
SRR33750934.6270915__1.6192028	UniClust90_DAPCNGMP01012|1__9|SGB133334
SRR33750934.6271675__1.6192776	UniClust90_LLIEHLNH02830|3__8|SGB130007
SRR33750934.6272056__1.6193152	UniClust90_JKONEDMA00373|1__6|SGB130007
SRR33750934.6272934__1.6194014	UniClust90_FNPCGKEP00588|1__8|SGB84078
SRR33750934.6273833__1.6194898	UniClust90_NOMIGGEC00979|1__9|SGB125949
SRR33750934.6274084__1.6195144	UniClust90_IMMCPGKG01624|1__8|SGB128778
SRR33750934.6274306__1.6195363	UniClust90_BOKHIPMC01063|1__5|SGB130007
SRR33750934.6275065__1.6196113	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750934.6275506__1.6196548	UniClust90_PKCJLHDA02483|1__8|SGB89408
SRR33750934.6275643__1.6196682	UniClust90_EDNFDLAG02265|1__12|SGB84078
SRR33750934.6277644__1.6198651	UniClust90_DPLIHBNC01178|1__7|SGB89725
SRR33750934.6277129__1.6198140	UniClust90_JFOPKFBK01276|1__4|SGB122683
SRR33750934.6278738__1.6199725	UniClust90_CGHAKFKK00777|1__8|SGB74789
SRR33750934.6281197__1.6202144	UniClust90_OCJAPFEA01058|1__10|SGB125949
SRR33750934.6282097__1.6203038	UniRef90_A0A1Q7BEM9|1__6|SGB56640
SRR33750934.6282461__1.6203396	UniRef90_UPI00101BD683|1__14|SGB30169
SRR33750934.6283090__1.6204014	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750934.6283712__1.6204634	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750934.6283835__1.6204755	UniClust90_EEPELPNH00844|1__3|SGB86769
SRR33750934.6285067__1.6205963	UniClust90_HGJNCPHJ02716|1__11|SGB125949
SRR33750934.6285051__1.6205947	UniClust90_HGJNCPHJ02716|1__11|SGB125949
SRR33750934.6287118__1.6207974	UniRef90_A0A1Q7B556|3__8|SGB56640
SRR33750934.6287292__1.6208146	UniClust90_LLIEHLNH02566|1__7|SGB130007
SRR33750934.6289058__1.6209890	UniClust90_JMFJJCJA03494|1__9|SGB130007
SRR33750934.6289763__1.6210590	UniClust90_ANDLCEDJ00505|2__6|SGB133091
SRR33750934.6289766__1.6210593	UniClust90_ANDLCEDJ00505|2__6|SGB133091
SRR33750934.6290322__1.6211141	UniClust90_AABABCCC01567|1__3|SGB74789
SRR33750934.6291056__1.6211870	UniClust90_NEMDDJGI01192|1__10|SGB133209
SRR33750934.6291806__1.6212616	UniClust90_EDNFDLAG01054|1__5|SGB84078
SRR33750934.6292198__1.6212999	UniClust90_MLPBEOKJ00988|1__5|SGB134825
SRR33750934.6293186__1.6213972	UniRef90_A0A2A8S8N5|1__14|SGB7708
SRR33750934.6293545__1.6214329	UniClust90_PIHLJOEE04833|1__17|SGB84075
SRR33750934.6293818__1.6214597	UniClust90_PPJAIDOO04144|1__7|SGB84075
SRR33750934.6294485__1.6215255	UniClust90_IOFPBIHC01413|1__6|SGB130007
SRR33750934.6294583__1.6215352	UniRef90_A0A2V6AV99|1__5|SGB52714
SRR33750934.6295115__1.6215874	UniClust90_DPLIHBNC00377|1__16|SGB89725
SRR33750934.6295312__1.6216066	UniClust90_OBEJBAOE02492|1__13|SGB128218
SRR33750934.6296206__1.6216943	UniRef90_A0A2V8JEC1|1__9|SGB17587
SRR33750934.6296559__1.6217289	UniRef90_UPI00101CBAE0|1__16|SGB30169
SRR33750934.6297812__1.6218526	UniClust90_JBMBCDML02613|1__5|SGB89725
SRR33750934.6298393__1.6219101	UniClust90_OPLEJCPF01349|1__11|SGB125949
SRR33750934.6300321__1.6221002	UniRef90_A0A2V6VTL4|1__8|SGB24062
SRR33750934.6301635__1.6222290	UniClust90_INAHCMGI01357|1__16|SGB128685
SRR33750934.6302517__1.6223160	UniClust90_CKDECKMG00156|1__8|SGB133121
SRR33750934.6302824__1.6223463	UniClust90_EGCAKLJA03672|1__8|SGB128178
SRR33750934.6302884__1.6223522	UniClust90_OOJDGJFL01198|5__10|SGB74789
SRR33750934.6302757__1.6223399	UniClust90_GHPINBAM01479|1__8|SGB84331
SRR33750934.6302766__1.6223408	UniRef90_A0A2V8L3E9|1__9|SGB17587
SRR33750934.6303211__1.6223845	UniClust90_FNPCGKEP00327|4__9|SGB84078
SRR33750934.6303163__1.6223799	UniClust90_DEFNONOM01870|3__10|SGB56640
SRR33750934.6303902__1.6224527	UniClust90_JMFJJCJA01374|1__6|SGB130007
SRR33750934.6303627__1.6224253	UniClust90_FNPCGKEP04821|1__8|SGB84078
SRR33750934.6304981__1.6225594	UniClust90_DIBLBONP01737|1__8|SGB84078
SRR33750934.6305264__1.6225871	UniClust90_LJMOGHMP01675|1__8|SGB128778
SRR33750934.6305271__1.6225878	UniClust90_LJMOGHMP01675|1__8|SGB128778
SRR33750934.6305535__1.6226141	UniClust90_JKONEDMA00395|1__7|SGB130007
SRR33750934.6306697__1.6227288	UniClust90_OPLEJCPF04706|1__9|SGB125949
SRR33750934.6306966__1.6227553	UniClust90_JBMBCDML00509|1__6|SGB89725
SRR33750934.6307386__1.6227971	UniClust90_FNPCGKEP05217|4__9|SGB84078
SRR33750934.6309652__1.6230196	UniClust90_EDNFDLAG01056|1__7|SGB84078
SRR33750934.6310619__1.6231154	UniRef90_A0A1Q7N0H3|1__12|SGB17587
SRR33750934.6312468__1.6232965	UniClust90_NFNIIOPM02461|1__13|SGB73570
SRR33750934.6312929__1.6233416	UniClust90_OFJJKHAK01408|1__10|SGB84078
SRR33750934.6313166__1.6233650	UniRef90_A0A2V6DMF8|1__23|SGB22169
SRR33750934.6313747__1.6234221	UniClust90_NJGLCGCL01191|1__4|SGB122683
SRR33750934.6314033__1.6234500	UniClust90_KMEALJDO00296|1__5|SGB84078
SRR33750934.6314580__1.6235038	UniClust90_CBDIOHJF00521|1__7|SGB89725
SRR33750934.6314479__1.6234939	UniRef90_A0A2V5VHY6|1__10|SGB52714
SRR33750934.6315008__1.6235459	UniClust90_NJGLCGCL01191|1__4|SGB122683
SRR33750934.6316603__1.6237027	UniRef90_A0A1Q7B4C1|1__9|SGB56640
SRR33750934.6317610__1.6238020	UniRef90_A0A101CL13|1__8|SGB16170
SRR33750934.6317833__1.6238239	UniClust90_JOMGGAEL00643|3__9|SGB74789
SRR33750934.6318544__1.6238932	UniRef90_UPI000695DACA|1__16|SGB176317
SRR33750934.6318567__1.6238954	UniClust90_PCIJFCLC00205|1__7|SGB132245
SRR33750934.6319959__1.6240322	UniClust90_OELLCOID01210|1__16|SGB128218
SRR33750934.6320875__1.6241227	UniClust90_OCJAPFEA02293|1__12|SGB125949
SRR33750934.6321801__1.6242137	UniClust90_AFPIDNAI01640|1__17|SGB125940
SRR33750934.6323560__1.6243868	UniClust90_OEKPEMHO00271|1__12|SGB129874
SRR33750934.6323388__1.6243696	UniRef90_A0A2V8KNA5|1__7|SGB17587
SRR33750934.6324279__1.6244578	UniClust90_HOPPLHLN02081|1__9|SGB128471
SRR33750934.6324756__1.6245044	UniClust90_MELOLLPK00766|1__6|SGB133334
SRR33750934.6324847__1.6245134	UniClust90_JMFJJCJA00713|1__7|SGB130007
SRR33750934.6326148__1.6246414	UniClust90_PKMOJOJK03472|1__9|SGB84078
SRR33750934.6326960__1.6247210	UniClust90_LOGOHNGJ00469|1__14|SGB126057
SRR33750934.6327091__1.6247338	UniClust90_BOKHIPMC02144|1__6|SGB130007
SRR33750934.6327311__1.6247555	UniClust90_OCJAPFEA00132|1__8|SGB125949
SRR33750934.6327318__1.6247562	UniClust90_GMEAMNGB00538|1__22|SGB134112
SRR33750934.6328093__1.6248330	UniClust90_BGDHDLNA01148|1__12|SGB84075
SRR33750934.6328397__1.6248630	UniClust90_OPLEJCPF04794|1__13|SGB125949
SRR33750934.6328398__1.6248631	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750934.6329074__1.6249298	UniClust90_GHPINBAM00800|1__5|SGB84331
SRR33750934.6329230__1.6249448	UniClust90_BOKHIPMC04272|1__7|SGB130007
SRR33750934.6329662__1.6249874	UniClust90_NMMEDCHE00382|2__8|SGB89423
SRR33750934.6329945__1.6250152	UniRef90_A0A3D5DS77|2__6|SGB130007
SRR33750934.6332074__1.6252245	UniRef90_A0A2V6FMY6|1__4|SGB52730
SRR33750934.6332699__1.6252861	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.6335460__1.6255589	UniClust90_OCJAPFEA05159|1__13|SGB125949
SRR33750934.6336447__1.6256562	UniClust90_OPLEJCPF01504|1__12|SGB125949
SRR33750934.6337075__1.6257183	UniRef90_A0A317JS48|5__13|SGB23743
SRR33750934.6337950__1.6258045	UniClust90_GMGIGFBN01644|1__9|SGB128987
SRR33750934.6339384__1.6259457	UniClust90_NECMKPAF04939|1__10|SGB89408
SRR33750934.6339612__1.6259681	UniClust90_PIHLJOEE04127|1__5|SGB84075
SRR33750934.6342579__1.6262610	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750934.6343337__1.6263358	UniClust90_LGBMFDOL01311|1__20|SGB129206
SRR33750934.6343461__1.6263481	UniClust90_AHBBACPJ00350|1__5|SGB122683
SRR33750934.6342231__1.6262268	UniClust90_EJAHAFID02073|1__7|SGB130007
SRR33750934.6345848__1.6265832	UniClust90_IJGFMJON01411|1__6|SGB56643
SRR33750934.6347672__1.6267632	UniRef90_A0A2V8ISG0|1__3|SGB17587
SRR33750934.6347586__1.6267546	UniClust90_DPLIHBNC00502|1__7|SGB89725
SRR33750934.6347881__1.6267839	UniClust90_DEILMPBG00229|1__3|SGB74789
SRR33750934.6347928__1.6267886	UniClust90_DEILMPBG00229|1__3|SGB74789
SRR33750934.6348442__1.6268396	UniRef90_A0A2V5M5A1|1__20|SGB52717
SRR33750934.6349069__1.6269019	UniClust90_OEKPEMHO01981|1__9|SGB129874
SRR33750934.6350779__1.6270711	UniClust90_NJHAEMFB02549|3__7|SGB131926
SRR33750934.6350888__1.6270814	UniClust90_HJJKGIDI02818|1__7|SGB130045
SRR33750934.6352260__1.6272166	UniClust90_DPLIHBNC00377|1__16|SGB89725
SRR33750934.6352410__1.6272313	UniClust90_EDNFDLAG02089|1__15|SGB84078
SRR33750934.6353988__1.6273868	UniRef90_A0A1Q7RVE2|1__7|SGB17587
SRR33750934.6356003__1.6275860	UniClust90_BOKHIPMC02522|6__11|SGB130007
SRR33750934.6356383__1.6276240	UniClust90_DLOKBJPP02518|1__10|SGB131913
SRR33750934.6356512__1.6276365	UniClust90_EJAHAFID02739|1__11|SGB130007
SRR33750934.6356468__1.6276322	UniClust90_HGJNCPHJ05097|1__12|SGB125949
SRR33750934.6356044__1.6275901	UniRef90_A0A1Q7BIY2|3__9|SGB56638
SRR33750934.6358200__1.6278026	UniClust90_OJGLOKOM01700|1__15|SGB84075
SRR33750934.6358464__1.6278288	UniClust90_OALLKAFI00543|1__7|SGB84078
SRR33750934.6359032__1.6278852	UniClust90_MEABCEIN01411|1__6|SGB84078
SRR33750934.6360798__1.6280591	UniClust90_EKCLMAKM00799|1__10|SGB89408
SRR33750934.6361256__1.6281042	UniClust90_JAIHKEGN01709|1__6|SGB74789
SRR33750934.6362679__1.6282442	UniClust90_OOJDGJFL02098|1__5|SGB74789
SRR33750934.6362049__1.6281824	UniRef90_A5EC28|7__13|SGB11302
SRR33750934.6363148__1.6282900	UniClust90_FOPKBINB04023|1__15|SGB128466
SRR33750934.6365523__1.6285245	UniClust90_DEFNONOM00486|1__5|SGB56640
SRR33750934.6365495__1.6285217	UniClust90_PKNCJFOJ01144|1__7|SGB56640
SRR33750934.6365736__1.6285454	UniRef90_A0A3D5DSM3|1__7|SGB130007
SRR33750934.6366632__1.6286341	UniClust90_GMEAMNGB03480|1__3|SGB134112
SRR33750934.6366669__1.6286377	UniClust90_IDPAEINK00446|1__5|SGB89725
SRR33750934.6367418__1.6287119	UniClust90_PKMOJOJK03870|1__6|SGB84078
SRR33750934.6369836__1.6289497	UniClust90_AMDOLPBA01841|1__12|SGB73712
SRR33750934.6369910__1.6289571	UniClust90_AMDOLPBA01841|1__12|SGB73712
SRR33750934.6369858__1.6289519	UniClust90_AMDOLPBA01841|1__12|SGB73712
SRR33750934.6371564__1.6291199	UniClust90_PKMOJOJK00426|4__7|SGB84078
SRR33750934.6371603__1.6291237	UniRef90_A0A3Q9FSK0|1__8|SGB34484
SRR33750934.6372013__1.6291636	UniRef90_A0A2V8IJK8|1__9|SGB131738
SRR33750934.6371685__1.6291315	UniClust90_CKDECKMG03070|1__23|SGB133121
SRR33750934.6374092__1.6293686	UniClust90_LLIEHLNH03555|1__6|SGB130007
SRR33750934.6375344__1.6294921	UniClust90_HGJNCPHJ01223|1__14|SGB125949
SRR33750934.6376691__1.6296250	UniClust90_ACDABMLJ00442|1__7|SGB133090
SRR33750934.6377104__1.6296656	UniRef90_A0A1Q7J1G6|1__10|SGB84075
SRR33750934.6377752__1.6297298	UniClust90_NHHHKJJE01039|1__12|SGB125949
SRR33750934.6378009__1.6297550	UniClust90_OJGLOKOM02225|1__9|SGB84075
SRR33750934.6379727__1.6299249	UniClust90_CHLBPEBB02122|1__15|SGB89725
SRR33750934.6382206__1.6301685	UniClust90_NOMIGGEC00360|1__17|SGB125949
SRR33750934.6382748__1.6302214	UniClust90_LMGOGHNA02110|1__7|SGB74789
SRR33750934.6383871__1.6303324	UniClust90_GMKONCKM00188|1__7|SGB89423
SRR33750934.6384096__1.6303546	UniClust90_GMEAMNGB00538|1__22|SGB134112
SRR33750934.6384615__1.6304060	UniClust90_NIILFFCI01616|1__5|SGB89423
SRR33750934.6384751__1.6304195	UniClust90_MGMMBNFB03337|1__4|SGB130045
SRR33750934.6384756__1.6304200	UniClust90_MGMMBNFB03337|1__4|SGB130045
SRR33750934.6385646__1.6305076	UniClust90_PCFEFNCA01923|1__10|SGB89408
SRR33750934.6388598__1.6307991	UniClust90_EDNFDLAG00956|1__10|SGB84078
SRR33750934.6389120__1.6308509	UniClust90_EDNFDLAG02086|1__6|SGB84078
SRR33750934.6389193__1.6308581	UniClust90_DPLIHBNC00505|1__4|SGB89725
SRR33750934.6389251__1.6308639	UniClust90_HDGMGAGN01015|1__6|SGB74789
SRR33750934.6389563__1.6308948	UniClust90_EEGDKFMB00399|4__10|SGB52729
SRR33750934.6389565__1.6308950	UniRef90_W4HTS8|1__9|SGB207601
SRR33750934.6391154__1.6310511	UniClust90_EAHOGDEJ00893|4__9|SGB131926
SRR33750934.6391221__1.6310578	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750934.6392315__1.6311662	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750934.6393418__1.6312754	UniClust90_HFNDKKKP00054|1__6|SGB74789
SRR33750934.6393635__1.6312971	UniClust90_NHHHKJJE01409|1__11|SGB125949
SRR33750934.6394612__1.6313941	UniClust90_DPLIHBNC01350|1__9|SGB89725
SRR33750934.6394319__1.6313649	UniClust90_PEODAMJP00709|1__11|SGB128471
SRR33750934.6395160__1.6314484	UniClust90_DCJCBMEC02753|4__11|SGB122526
SRR33750934.6395386__1.6314708	UniClust90_IOFPBIHC03763|1__9|SGB130007
SRR33750934.6396543__1.6315858	UniClust90_OPLEJCPF04736|1__13|SGB125949
SRR33750934.6396551__1.6315866	UniClust90_EJAHAFID00869|1__8|SGB130007
SRR33750934.6396682__1.6315994	UniClust90_EJAHAFID00869|1__8|SGB130007
SRR33750934.6396967__1.6316274	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750934.6397001__1.6316307	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750934.6397005__1.6316311	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750934.6397017__1.6316322	UniRef90_W1SER8|1__15|SGB154096
SRR33750934.6398628__1.6317906	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750934.6398500__1.6317780	UniClust90_ANDLCEDJ00163|1__4|SGB133091
SRR33750934.6400473__1.6319727	UniClust90_BOKHIPMC05186|1__5|SGB130007
SRR33750934.6400399__1.6319653	UniClust90_IDPAEINK02633|1__4|SGB89725
SRR33750934.6401487__1.6320733	UniClust90_AMOFFOJE00869|1__9|SGB133121
SRR33750934.6401007__1.6320257	UniClust90_JKONEDMA00395|1__7|SGB130007
SRR33750934.6401958__1.6321195	UniClust90_HMPPKHGP01440|7__11|SGB133091
SRR33750934.6403439__1.6322656	UniRef90_A0A1Q7BFU4|1__5|SGB56640
SRR33750934.6403488__1.6322705	UniClust90_JMFJJCJA00050|1__6|SGB130007
SRR33750934.6403513__1.6322729	UniClust90_CJJELLGD00627|1__6|SGB84331
SRR33750934.6403534__1.6322750	UniRef90_A0A2V6HN00|1__7|SGB52730
SRR33750934.6405327__1.6324514	UniClust90_PKCJLHDA00360|1__9|SGB89408
SRR33750934.6405715__1.6324894	UniRef90_A0A2V8H1W6|1__20|SGB17587
SRR33750934.6405519__1.6324701	UniClust90_DPJLILCC01549|1__5|SGB89725
SRR33750934.6407425__1.6326584	UniClust90_EOKKBGCM03179|1__10|SGB131205
SRR33750934.6408546__1.6327685	UniClust90_KIMNEABG01600|1__5|SGB131913
SRR33750934.6408488__1.6327627	UniRef90_A0A2V6AR67|1__9|SGB52714
SRR33750934.6408919__1.6328051	UniClust90_MIFDONLI00107|1__6|SGB89423
SRR33750934.6409885__1.6329007	UniClust90_IDGGEJIK02132|1__5|SGB56638
SRR33750934.6409895__1.6329016	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750934.6410046__1.6329166	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.6410059__1.6329179	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.6410454__1.6329569	UniClust90_EMAEKJAG01975|1__10|SGB128987
SRR33750934.6411825__1.6330916	UniClust90_NOMIGGEC02011|1__14|SGB125949
SRR33750934.6411883__1.6330974	UniClust90_HGJNCPHJ04706|1__10|SGB125949
SRR33750934.6412093__1.6331179	UniClust90_IOFPBIHC03763|1__9|SGB130007
SRR33750934.6413113__1.6332183	UniClust90_HGJNCPHJ03485|1__9|SGB125949
SRR33750934.6413935__1.6332996	UniClust90_OPLEJCPF02168|1__9|SGB125949
SRR33750934.6416661__1.6335692	UniClust90_BDGBANDJ02789|1__8|SGB127159
SRR33750934.6417503__1.6336521	UniClust90_ECADNLOL04566|1__10|SGB111562
SRR33750934.6417581__1.6336599	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.6417656__1.6336670	UniRef90_A0A2N8MBT6|2__6|SGB132462
SRR33750934.6418089__1.6337095	UniRef90_A0A2V5RCQ2|1__3|SGB52719
SRR33750934.6418564__1.6337561	UniClust90_AHPFANAF03476|1__9|SGB133354
SRR33750934.6419596__1.6338580	UniClust90_LJMOGHMP01675|1__8|SGB128778
SRR33750934.6419909__1.6338889	UniClust90_HOPPLHLN01180|1__8|SGB128471
SRR33750934.6420131__1.6339106	UniClust90_IBMDDACE01199|1__10|SGB128778
SRR33750934.6421054__1.6340019	UniClust90_KIMIJBHB04534|1__21|SGB126432
SRR33750934.6421756__1.6340710	UniClust90_LCIBFGAE00165|1__8|SGB127159
SRR33750934.6423430__1.6342361	UniRef90_A0A1Q8B5P9|1__9|SGB17587
SRR33750934.6423955__1.6342878	UniClust90_IDKECNGD00523|1__5|SGB74789
SRR33750934.6424756__1.6343669	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750934.6424708__1.6343621	UniClust90_OJGLOKOM01699|1__8|SGB84075
