SRR33750943.4918__1.4833	UniClust90_MKPDLIIB02020|1__8|SGB131913
SRR33750943.6169092__1.6084110	UniRef90_UPI000A36811F|1__12|SGB34516
SRR33750943.6169483__1.6084490	UniClust90_EGJMCDJL03107|1__6|SGB133322
SRR33750943.6169947__1.6084942	UniClust90_GBALCFDI00549|1__18|SGB111019
SRR33750943.6170391__1.6085381	UniClust90_ECOHMLGB01426|1__5|SGB56640
SRR33750943.6170552__1.6085539	UniClust90_EKCLMAKM02391|1__11|SGB89408
SRR33750943.6172615__1.6087576	UniClust90_FNPCGKEP00622|5__10|SGB84078
SRR33750943.6173887__1.6088832	UniClust90_OIPOEBPA02933|1__6|SGB84075
SRR33750943.6175823__1.6090735	UniClust90_IOFPBIHC00948|1__8|SGB130007
SRR33750943.6176247__1.6091149	UniClust90_DBBCBONN03743|1__21|SGB126432
SRR33750943.6177323__1.6092210	UniClust90_EMAEKJAG02289|1__13|SGB128987
SRR33750943.6177210__1.6092097	UniClust90_OPLEJCPF05100|1__9|SGB125949
SRR33750943.6178840__1.6093710	UniClust90_OCJAPFEA02833|1__17|SGB125949
SRR33750943.6180282__1.6095130	UniClust90_KMEALJDO01892|1__4|SGB84078
SRR33750943.6180844__1.6095678	UniClust90_NOHGIMHJ00868|1__5|SGB74789
SRR33750943.6180866__1.6095700	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750943.6180931__1.6095764	UniClust90_NOHGIMHJ00868|1__5|SGB74789
SRR33750943.6180988__1.6095821	UniClust90_JBMBCDML00644|1__4|SGB89725
SRR33750943.6183209__1.6098015	UniClust90_NOMIGGEC01921|1__15|SGB125949
SRR33750943.6184056__1.6098851	UniClust90_MEABCEIN01365|1__6|SGB84078
SRR33750943.6184031__1.6098827	UniRef90_A0A0R3KPA5|1__21|SGB11345
SRR33750943.6184786__1.6099570	UniRef90_A0A0R3KPA5|1__21|SGB11345
SRR33750943.6185155__1.6099936	UniRef90_A0A1Q6VAC1|1__3|SGB52720
SRR33750943.6187400__1.6102145	UniClust90_BDNGBGFH01520|2__14|SGB125634
SRR33750943.6189489__1.6104204	UniClust90_HGJNCPHJ00274|5__12|SGB125949
SRR33750943.6189554__1.6104268	UniRef90_A0A484J3F8|4__12|SGB11349
SRR33750943.6189239__1.6103958	UniClust90_HGJNCPHJ04504|1__8|SGB125949
SRR33750943.6193183__1.6107840	UniClust90_HGFGGOBL01401|1__11|SGB84331
SRR33750943.6195137__1.6109758	UniClust90_KKDIGBNC01120|1__5|SGB74789
SRR33750943.6197552__1.6112128	UniRef90_A0A345ZZ40|5__10|SGB89408
SRR33750943.6197740__1.6112316	UniClust90_CBDIOHJF00730|1__10|SGB89725
SRR33750943.6200037__1.6114578	UniClust90_OPLEJCPF04282|1__12|SGB125949
SRR33750943.6200215__1.6114756	UniClust90_OJFAJFEC00285|1__4|SGB89423
SRR33750943.6200589__1.6115123	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6202046__1.6116566	UniClust90_DEFNONOM00677|1__6|SGB56640
SRR33750943.6202484__1.6117000	UniRef90_A0A357CLP1|3__7|SGB133091
SRR33750943.6202622__1.6117137	UniRef90_A0A345ZZQ3|1__8|SGB89408
SRR33750943.6203902__1.6118399	UniClust90_CKOCNOFC00167|1__4|SGB89423
SRR33750943.6205309__1.6119788	UniClust90_MOPOFHCP03781|1__7|SGB89408
SRR33750943.6205989__1.6120454	UniClust90_JKKHKAPH04527|1__12|SGB89408
SRR33750943.6206459__1.6120923	UniClust90_BOKHIPMC05974|1__10|SGB130007
SRR33750943.6206963__1.6121414	UniClust90_BOKHIPMC00291|1__5|SGB130007
SRR33750943.6209106__1.6123525	UniClust90_KMEALJDO01893|2__6|SGB84078
SRR33750943.6211055__1.6125453	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6212545__1.6126917	UniClust90_ALADKHLP00123|1__7|SGB89423
SRR33750943.6212779__1.6127149	UniClust90_OEAFLJII03395|1__25|SGB134782
SRR33750943.6212182__1.6126559	UniClust90_EGCAKLJA03609|1__9|SGB128178
SRR33750943.6214040__1.6128394	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750943.6214353__1.6128706	UniClust90_JCMEFMGF03781|1__15|SGB74780
SRR33750943.6215559__1.6129889	UniClust90_HFMNMIAB00292|1__11|SGB184032
SRR33750943.6216211__1.6130536	UniRef90_A0A2V5RD41|1__6|SGB52719
SRR33750943.6218135__1.6132425	UniClust90_GBHLOFGN01973|1__17|SGB122666
SRR33750943.6218059__1.6132349	UniClust90_BOKHIPMC01922|1__17|SGB130007
SRR33750943.6218850__1.6133124	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6218999__1.6133269	UniRef90_A0A2V5ZLR6|1__7|SGB84331
SRR33750943.6219130__1.6133399	UniClust90_JMFJJCJA03372|1__11|SGB130007
SRR33750943.6219141__1.6133410	UniClust90_JMFJJCJA03372|1__11|SGB130007
SRR33750943.6219744__1.6134008	UniClust90_NBLCJJMP01327|1__24|SGB131802
SRR33750943.6220684__1.6134933	UniClust90_EDNFDLAG02784|1__7|SGB84078
SRR33750943.6220859__1.6135106	UniClust90_LLIEHLNH02657|1__8|SGB130007
SRR33750943.6221276__1.6135516	UniClust90_CCEFDEIK00301|1__3|SGB74789
SRR33750943.6221959__1.6136186	UniClust90_PKCJLHDA01088|1__7|SGB89408
SRR33750943.6221659__1.6135892	UniRef90_A0A2L0WIU5|1__10|SGB24516
SRR33750943.6222314__1.6136538	UniClust90_DPLIHBNC01574|1__5|SGB89725
SRR33750943.6223553__1.6137760	UniClust90_PKCJLHDA01088|1__7|SGB89408
SRR33750943.6224404__1.6138603	UniClust90_OPLEJCPF04794|1__13|SGB125949
SRR33750943.6225583__1.6139770	UniClust90_KIHGAKFE02425|1__8|SGB128778
SRR33750943.6226110__1.6140288	UniClust90_BKEMCFBC00926|1__6|SGB131913
SRR33750943.6229031__1.6143173	UniClust90_IABCABEO02227|1__8|SGB74789
SRR33750943.6229913__1.6144045	UniClust90_GJEIHIOJ00690|3__6|SGB122526
SRR33750943.6229843__1.6143977	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750943.6230608__1.6144730	UniClust90_OCJAPFEA03308|1__24|SGB125949
SRR33750943.6231231__1.6145345	UniClust90_PEMFFBNE00680|1__7|SGB74789
SRR33750943.6231902__1.6146009	UniClust90_CBNLCMFD00766|1__4|SGB74789
SRR33750943.6231679__1.6145788	UniClust90_OPLEJCPF02982|1__12|SGB125949
SRR33750943.6233812__1.6147897	UniRef90_A0A2V6TUH4|1__7|SGB131913
SRR33750943.6234141__1.6148222	UniClust90_GJEIHIOJ02339|1__7|SGB122526
SRR33750943.6235116__1.6149184	UniClust90_NECMKPAF05136|1__7|SGB89408
SRR33750943.6235954__1.6150013	UniClust90_HNBLJKFC00645|1__7|SGB128778
SRR33750943.6239261__1.6153276	UniClust90_DGNDJLCE01295|1__9|SGB125699
SRR33750943.6239603__1.6153614	UniClust90_PJKCPLGD01356|1__8|SGB89423
SRR33750943.6240708__1.6154707	UniRef90_A0A1Q7BFB1|1__5|SGB56640
SRR33750943.6240860__1.6154859	UniClust90_IOFPBIHC04358|1__11|SGB130007
SRR33750943.6241110__1.6155102	UniClust90_FNPCGKEP04507|4__7|SGB84078
SRR33750943.6241440__1.6155428	UniClust90_IGKPANEM01389|1__11|SGB128987
SRR33750943.6242405__1.6156376	UniClust90_IJHKGIGD01454|1__7|SGB128471
SRR33750943.6242449__1.6156419	UniClust90_IJHKGIGD01454|1__7|SGB128471
SRR33750943.6242996__1.6156956	UniClust90_OBPNKPOH02959|1__3|SGB133334
SRR33750943.6243778__1.6157729	UniRef90_UPI00103CCCD2|1__14|SGB34619
SRR33750943.6243879__1.6157829	UniClust90_IIEDOAEF00814|1__11|SGB128218
SRR33750943.6243932__1.6157882	UniClust90_FNPCGKEP01550|3__9|SGB84078
SRR33750943.6246617__1.6160530	UniClust90_NECMKPAF04633|1__8|SGB89408
SRR33750943.6246594__1.6160508	UniClust90_NECMKPAF04633|1__8|SGB89408
SRR33750943.6248819__1.6162706	UniClust90_EKCLMAKM04922|10__23|SGB89408
SRR33750943.6248968__1.6162852	UniClust90_DIBLBONP01346|1__6|SGB84078
SRR33750943.6249066__1.6162950	UniClust90_IKLAALHE02353|1__6|SGB133354
SRR33750943.6249383__1.6163261	UniClust90_ICJPFPDN00037|1__5|SGB74789
SRR33750943.6251094__1.6164957	UniClust90_IDPAEINK02473|1__5|SGB89725
SRR33750943.6251955__1.6165806	UniClust90_PPDCKKGL00670|1__9|SGB133090
SRR33750943.6251869__1.6165720	UniClust90_MEABCEIN00532|1__6|SGB84078
SRR33750943.6253046__1.6166882	UniClust90_PEODAMJP00709|1__11|SGB128471
SRR33750943.6254800__1.6168615	UniRef90_A0A1Q7B5C4|2__6|SGB56640
SRR33750943.6255999__1.6169795	UniClust90_MEABCEIN00530|1__7|SGB84078
SRR33750943.6260615__1.6174359	UniClust90_EJAHAFID02924|1__9|SGB130007
SRR33750943.6260584__1.6174329	UniClust90_EJAHAFID04301|1__5|SGB130007
SRR33750943.6262429__1.6176152	UniClust90_KIMNEABG00244|1__11|SGB131913
SRR33750943.6265172__1.6178855	UniRef90_A0A233SA16|1__5|SGB16204
SRR33750943.6265705__1.6179377	UniClust90_EKCLMAKM04286|1__10|SGB89408
SRR33750943.6271840__1.6185434	UniClust90_EDBNNBOB01936|1__5|SGB56640
SRR33750943.6274344__1.6187909	UniClust90_HGJNCPHJ03239|1__10|SGB125949
SRR33750943.6274846__1.6188400	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750943.6277251__1.6190766	UniClust90_PIHLJOEE03453|1__7|SGB84075
SRR33750943.6277673__1.6191185	UniClust90_IABCABEO01996|1__7|SGB74789
SRR33750943.6277791__1.6191303	UniRef90_A0A2V5QCB4|1__6|SGB52719
SRR33750943.6277770__1.6191282	UniRef90_A0A2V5QCB4|1__6|SGB52719
SRR33750943.6278665__1.6192166	UniClust90_CJALJAMN01738|1__5|SGB125628
SRR33750943.6279656__1.6193134	UniClust90_CENPGEFH03035|1__8|SGB131987
SRR33750943.6279871__1.6193348	UniClust90_ALADKHLP00123|1__7|SGB89423
SRR33750943.6280798__1.6194261	UniClust90_JJIPPMBI00066|1__6|SGB133090
SRR33750943.6280400__1.6193872	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6284338__1.6197753	UniClust90_DIBLBONP00224|1__6|SGB84078
SRR33750943.6285571__1.6198974	UniClust90_EDBNNBOB01175|1__5|SGB56640
SRR33750943.6285970__1.6199368	UniRef90_A0A2V6DMP5|3__17|SGB22169
SRR33750943.6286570__1.6199961	UniClust90_HBNHOCOG01550|1__9|SGB133367
SRR33750943.6287454__1.6200834	UniClust90_MEABCEIN01333|1__6|SGB84078
SRR33750943.6288768__1.6202142	UniClust90_GBLMBOPO01876|15__18|SGB133090
SRR33750943.6295552__1.6208846	UniClust90_GIDCBJMF00758|1__4|SGB134112
SRR33750943.6298129__1.6211382	UniClust90_FECOCFCC00060|1__16|SGB128987
SRR33750943.6298260__1.6211510	UniClust90_DJBDGBNB03164|1__3|SGB89725
SRR33750943.6298449__1.6211696	UniClust90_CHMIEHDJ01175|1__8|SGB56640
SRR33750943.6299626__1.6212860	UniClust90_AABABCCC01567|1__3|SGB74789
SRR33750943.6301663__1.6214869	UniClust90_FHGCMOHF02191|1__9|SGB86847
SRR33750943.6301899__1.6215100	UniRef90_UPI00041ED3F4|2__8|SGB31987
SRR33750943.6302237__1.6215432	UniClust90_EAKADGJF04599|1__9|SGB131926
SRR33750943.6304208__1.6217381	UniClust90_GIDCBJMF00454|1__9|SGB134112
SRR33750943.6304283__1.6217455	UniClust90_GBALCFDI03054|7__21|SGB111019
SRR33750943.6304477__1.6217648	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750943.6305884__1.6219042	UniRef90_A0A3D5DSM3|1__7|SGB130007
SRR33750943.6307840__1.6220971	UniClust90_OPLEJCPF01349|1__11|SGB125949
SRR33750943.6308795__1.6221918	UniClust90_GJBLDLDM02199|1__6|SGB89423
SRR33750943.6308964__1.6222084	UniClust90_IOFPBIHC02046|1__12|SGB130007
SRR33750943.6309594__1.6222708	UniClust90_BGDHDLNA04615|1__5|SGB84075
SRR33750943.6310295__1.6223404	UniClust90_CDCDKIIJ00716|1__11|SGB84331
SRR33750943.6313166__1.6226241	UniClust90_HBCNFADG01134|3__9|SGB74789
SRR33750943.6314413__1.6227473	UniClust90_MADMLNLG01808|1__6|SGB89423
SRR33750943.6315716__1.6228761	UniRef90_A0A1Q7BYR0|1__5|SGB56640
SRR33750943.6316187__1.6229228	UniClust90_OFJJKHAK01405|1__6|SGB84078
SRR33750943.6316763__1.6229795	UniClust90_DJBDGBNB01295|1__8|SGB89725
SRR33750943.6318497__1.6231513	UniClust90_OALLKAFI01589|1__6|SGB84078
SRR33750943.6321079__1.6234075	UniClust90_PFELKCFB02316|1__13|SGB89410
SRR33750943.6323665__1.6236635	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6324007__1.6236972	UniClust90_EDNFDLAG00956|1__10|SGB84078
SRR33750943.6324633__1.6237588	UniClust90_MBCFFIAJ02140|1__20|SGB173475
SRR33750943.6324935__1.6237884	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750943.6327675__1.6240589	UniClust90_JMFJJCJA03494|1__9|SGB130007
SRR33750943.6329607__1.6242493	UniClust90_BOKHIPMC04224|1__5|SGB130007
SRR33750943.6330310__1.6243182	UniClust90_OCJAPFEA01948|1__11|SGB125949
SRR33750943.6331879__1.6244726	UniClust90_GFFNGEKC02172|1__6|SGB56640
SRR33750943.6332162__1.6245004	UniClust90_OAHKOOFD03158|2__5|SGB122526
SRR33750943.6332237__1.6245076	UniClust90_IINBCADG00470|2__6|SGB74789
SRR33750943.6333125__1.6245947	UniClust90_KOJPNKHF01284|1__10|SGB125699
SRR33750943.6333965__1.6246775	UniClust90_OCJAPFEA05355|1__8|SGB125949
SRR33750943.6335046__1.6247837	UniRef90_A0A1X0I433|1__4|SGB207587
SRR33750943.6334467__1.6247269	UniClust90_BAFKEIGD02990|1__10|SGB124412
SRR33750943.6335119__1.6247908	UniClust90_CBNLCMFD00284|1__9|SGB74789
SRR33750943.6335481__1.6248267	UniClust90_DPLIHBNC00502|1__7|SGB89725
SRR33750943.6337259__1.6250018	UniRef90_A0A1X0I433|1__4|SGB207587
SRR33750943.6337516__1.6250273	UniClust90_PPDCKKGL01342|5__8|SGB133090
SRR33750943.6340045__1.6252763	UniRef90_A0A2V6TUH4|1__7|SGB131913
SRR33750943.6341416__1.6254104	UniClust90_CMJGEBLA00318|1__11|SGB89408
SRR33750943.6341647__1.6254330	UniClust90_ICLCAGBO02788|1__6|SGB131913
SRR33750943.6341800__1.6254479	UniClust90_KMEALJDO00828|1__9|SGB84078
SRR33750943.6341801__1.6254480	UniClust90_ICLCAGBO02788|1__6|SGB131913
SRR33750943.6341934__1.6254609	UniClust90_OJFAJFEC00252|1__6|SGB89423
SRR33750943.6342188__1.6254861	UniClust90_OPFCPGGL01137|1__4|SGB89423
SRR33750943.6342855__1.6255513	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750943.6342783__1.6255444	UniClust90_PIHLJOEE04127|1__5|SGB84075
SRR33750943.6343020__1.6255674	UniClust90_KMEALJDO00397|1__6|SGB84078
SRR33750943.6343021__1.6255675	UniClust90_KMEALJDO00397|1__6|SGB84078
SRR33750943.6343257__1.6255908	UniClust90_MEABCEIN01012|1__7|SGB84078
SRR33750943.6344686__1.6257310	UniClust90_KIMNEABG03302|1__11|SGB131913
SRR33750943.6344777__1.6257398	UniClust90_DJBDGBNB03147|1__4|SGB89725
SRR33750943.6346509__1.6259100	UniClust90_BOKHIPMC05241|1__6|SGB130007
SRR33750943.6349035__1.6261574	UniClust90_MADMLNLG01808|1__6|SGB89423
SRR33750943.6349234__1.6261766	UniClust90_CBNLCMFD01069|1__7|SGB74789
SRR33750943.6349519__1.6262051	UniClust90_FCKBNHJJ01883|1__13|SGB86769
SRR33750943.6350414__1.6262937	UniClust90_CJJELLGD00912|1__6|SGB84331
SRR33750943.6352257__1.6264741	UniClust90_EDNFDLAG01057|1__6|SGB84078
SRR33750943.6352921__1.6265394	UniClust90_NFEHNLLP03669|5__18|SGB184291
SRR33750943.6354015__1.6266469	UniRef90_A0A2V6DQM2|1__10|SGB22169
SRR33750943.6354500__1.6266947	UniClust90_CDKJHIMC04635|4__8|SGB31917
SRR33750943.6354802__1.6267244	UniClust90_KMEALJDO02797|3__6|SGB84078
SRR33750943.6355004__1.6267444	UniClust90_GICLLIGG02037|1__10|SGB130045
SRR33750943.6356660__1.6269069	UniClust90_LOEIEFCJ00738|1__5|SGB74789
SRR33750943.6360352__1.6272694	UniRef90_A0A2V5QV54|1__5|SGB52719
SRR33750943.6360833__1.6273167	UniClust90_GJEIHIOJ02099|5__10|SGB122526
SRR33750943.6361566__1.6273888	UniRef90_A0A2C2UW30|1__6|SGB7684
SRR33750943.6361616__1.6273938	UniRef90_A0A2C2UW30|1__6|SGB7684
SRR33750943.6361963__1.6274281	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750943.6363905__1.6276183	UniClust90_HOJMLEFK00248|1__13|SGB33910
SRR33750943.6366909__1.6279136	UniClust90_OAHKOOFD03140|5__10|SGB122526
SRR33750943.6370760__1.6282920	UniClust90_CGHAKFKK00814|1__6|SGB74789
SRR33750943.6370595__1.6282757	UniClust90_DPLIHBNC01730|1__8|SGB89725
SRR33750943.6372138__1.6284272	UniClust90_OPLEJCPF02170|1__10|SGB125949
SRR33750943.6372190__1.6284324	UniClust90_OPLEJCPF04120|1__8|SGB125949
SRR33750943.6372981__1.6285108	UniClust90_MOAOENBG04376|1__10|SGB94063
SRR33750943.6373414__1.6285536	UniClust90_JMFJJCJA00713|1__7|SGB130007
SRR33750943.6374508__1.6286612	UniClust90_PLCDHMLO01993|1__12|SGB134782
SRR33750943.6374723__1.6286824	UniClust90_BOKHIPMC00669|1__11|SGB130007
SRR33750943.6374729__1.6286830	UniClust90_DPJLILCC01552|1__3|SGB89725
SRR33750943.6375390__1.6287477	UniClust90_OCJAPFEA04785|1__10|SGB125949
SRR33750943.6375821__1.6287900	UniClust90_AMMKPGFJ01150|1__4|SGB122608
SRR33750943.6378782__1.6290818	UniClust90_CEIBDEKO02132|1__7|SGB133121
SRR33750943.6380142__1.6292157	UniClust90_FIHOKOAF00146|1__3|SGB74789
SRR33750943.6380315__1.6292327	UniClust90_LLIEHLNH01141|5__12|SGB130007
SRR33750943.6381203__1.6293193	UniClust90_HGJNCPHJ03120|1__8|SGB125949
SRR33750943.6381204__1.6293194	UniClust90_HGJNCPHJ03120|1__8|SGB125949
SRR33750943.6381345__1.6293330	UniClust90_MEABCEIN01334|1__6|SGB84078
SRR33750943.6381290__1.6293277	UniClust90_HGJNCPHJ00225|1__14|SGB125949
SRR33750943.6382082__1.6294050	UniClust90_IGKPANEM03241|1__22|SGB128987
SRR33750943.6382072__1.6294040	UniRef90_A0A2V6DF73|1__15|SGB22169
SRR33750943.6382628__1.6294585	UniClust90_FMPEHDNM00831|1__5|SGB89423
SRR33750943.6382770__1.6294726	UniClust90_MEABCEIN01071|1__9|SGB84078
SRR33750943.6382682__1.6294639	UniClust90_IGKPANEM02559|1__15|SGB128987
SRR33750943.6383218__1.6295165	UniRef90_A0A2V5KQA8|1__3|SGB52719
SRR33750943.6384238__1.6296170	UniClust90_NECMKPAF00853|1__8|SGB89408
SRR33750943.6386689__1.6298575	UniClust90_KIMNEABG03302|1__11|SGB131913
SRR33750943.6387523__1.6299394	UniClust90_MEABCEIN00888|1__7|SGB84078
SRR33750943.6388101__1.6299962	UniClust90_IOFPBIHC04358|1__11|SGB130007
SRR33750943.6388061__1.6299925	UniClust90_NHHHKJJE02842|1__8|SGB125949
SRR33750943.6390024__1.6301850	UniClust90_HFNDKKKP00054|1__6|SGB74789
SRR33750943.6392521__1.6304306	UniClust90_NHHHKJJE03728|1__12|SGB125949
SRR33750943.6393112__1.6304889	UniClust90_IJKGCFNK00707|1__17|SGB131808
SRR33750943.6394918__1.6306673	UniClust90_NKFDNCBD04664|1__19|SGB135184
SRR33750943.6395824__1.6307566	UniClust90_PPJAIDOO03505|1__5|SGB84075
SRR33750943.6395540__1.6307286	UniClust90_LJMOGHMP02379|1__8|SGB128778
SRR33750943.6395792__1.6307535	UniClust90_NOMIGGEC00036|1__12|SGB125949
SRR33750943.6396002__1.6307743	UniClust90_BGMDAEJF01561|1__7|SGB122526
SRR33750943.6396141__1.6307879	UniClust90_HGJNCPHJ01683|1__9|SGB125949
SRR33750943.6398032__1.6309741	UniClust90_BOKHIPMC02144|1__6|SGB130007
SRR33750943.6398630__1.6310330	UniClust90_GEHFPKBH01438|1__8|SGB84075
SRR33750943.6403714__1.6315326	UniRef90_A0A2V5MTB2|1__3|SGB52717
SRR33750943.6404626__1.6316226	UniRef90_A0A2V6B8W1|1__4|SGB52714
SRR33750943.6405521__1.6317099	UniClust90_DJBDGBNB02960|1__8|SGB89725
SRR33750943.6405822__1.6317394	UniClust90_DIBLBONP01570|1__6|SGB84078
SRR33750943.6406515__1.6318077	UniClust90_MDGCCGDH03758|1__9|SGB56640
SRR33750943.6406534__1.6318096	UniClust90_DAODNPOA00254|8__15|SGB89725
SRR33750943.6407686__1.6319223	UniClust90_IOFPBIHC02500|1__7|SGB130007
SRR33750943.6407706__1.6319243	UniClust90_GMKONCKM00188|1__7|SGB89423
SRR33750943.6407733__1.6319269	UniClust90_HOMJAIDI01111|1__5|SGB89423
SRR33750943.6408407__1.6319934	UniClust90_EDNFDLAG00889|1__6|SGB84078
SRR33750943.6407969__1.6319499	UniClust90_IBNNDEFK04855|1__7|SGB89408
SRR33750943.6408332__1.6319860	UniClust90_HOMJAIDI01111|1__5|SGB89423
SRR33750943.6409022__1.6320541	UniClust90_FKLKIPMJ00064|1__4|SGB74789
SRR33750943.6411049__1.6322537	UniClust90_LLIEHLNH01494|1__6|SGB130007
SRR33750943.6411488__1.6322971	UniClust90_FIHOKOAF00736|1__4|SGB74789
SRR33750943.6412670__1.6324127	UniClust90_IBNNDEFK00344|1__11|SGB89408
SRR33750943.6413759__1.6325197	UniClust90_EGBAJGJI01211|1__12|SGB126057
SRR33750943.6414165__1.6325599	UniClust90_CMJGEBLA02232|1__8|SGB89408
SRR33750943.6414134__1.6325568	UniClust90_PKMOJOJK02584|1__7|SGB84078
SRR33750943.6415593__1.6327002	UniRef90_A0A3D3B3Y5|3__6|SGB133090
SRR33750943.6418027__1.6329402	UniClust90_OCJAPFEA05355|1__8|SGB125949
SRR33750943.6418464__1.6329832	UniClust90_FNPCGKEP00588|1__8|SGB84078
SRR33750943.6425519__1.6336780	UniClust90_FNPCGKEP03763|1__6|SGB84078
SRR33750943.6426257__1.6337508	UniClust90_MEIOKPHE01455|1__8|SGB86706
SRR33750943.6425503__1.6336764	UniClust90_HGJNCPHJ04504|1__8|SGB125949
SRR33750943.6426571__1.6337819	UniClust90_DFPNCMDA02553|1__9|SGB130045
SRR33750943.6427031__1.6338267	UniClust90_MEEHGGHD02566|1__8|SGB127159
SRR33750943.6427311__1.6338545	UniClust90_DHFBAFBN02402|1__23|SGB133121
SRR33750943.6429301__1.6340505	UniClust90_GMEAMNGB03167|1__6|SGB134112
SRR33750943.6431292__1.6342465	UniClust90_LEJLODHJ00817|1__5|SGB89423
SRR33750943.6431661__1.6342828	UniClust90_OALLKAFI00407|1__6|SGB84078
SRR33750943.6432933__1.6344082	UniClust90_OCJAPFEA03243|1__10|SGB125949
SRR33750943.6433075__1.6344219	UniClust90_OPLEJCPF03224|1__11|SGB125949
SRR33750943.6434569__1.6345693	UniClust90_IPBGJNGD02076|1__13|SGB89408
SRR33750943.6434756__1.6345871	UniClust90_OCJAPFEA05159|1__13|SGB125949
SRR33750943.6435141__1.6346250	UniClust90_EJAHAFID02924|1__9|SGB130007
SRR33750943.6435151__1.6346260	UniClust90_EJAHAFID02924|1__9|SGB130007
SRR33750943.6435158__1.6346267	UniClust90_EJAHAFID02924|1__9|SGB130007
SRR33750943.6435795__1.6346894	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6436593__1.6347681	UniClust90_JKONEDMA02815|1__9|SGB130007
SRR33750943.6439569__1.6350611	UniClust90_NOMIGGEC02350|1__10|SGB125949
SRR33750943.6440287__1.6351317	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.6440728__1.6351755	UniClust90_FECOCFCC01935|6__16|SGB128987
SRR33750943.6440518__1.6351546	UniClust90_FECOCFCC01935|6__16|SGB128987
SRR33750943.6440806__1.6351832	UniRef90_A0A1Q7B562|1__6|SGB56640
SRR33750943.6442810__1.6353796	UniClust90_CMJGEBLA04297|1__7|SGB89408
SRR33750943.6444386__1.6355352	UniRef90_A0A127JUT5|1__12|SGB12746
SRR33750943.6445449__1.6356386	UniClust90_JEOCIIHF01071|1__5|SGB89423
SRR33750943.6447622__1.6358519	UniClust90_GJEIHIOJ03805|4__7|SGB122526
SRR33750943.6448931__1.6359817	UniClust90_OCJAPFEA06139|1__12|SGB125949
SRR33750943.6449116__1.6359999	UniClust90_MEABCEIN01012|1__7|SGB84078
SRR33750943.6449286__1.6360166	UniRef90_A0A176YZZ0|7__14|SGB11302
SRR33750943.6450175__1.6361042	UniClust90_FECOCFCC03701|1__9|SGB128987
SRR33750943.6451049__1.6361901	UniClust90_OPLEJCPF06182|1__21|SGB125949
SRR33750943.6451949__1.6362784	UniClust90_IMMCPGKG00518|1__9|SGB128778
SRR33750943.6452221__1.6363052	UniRef90_A0A2V6DKJ5|1__16|SGB22169
SRR33750943.6453237__1.6364050	UniRef90_A0A2V7W842|1__15|SGB24021
SRR33750943.6453411__1.6364222	UniRef90_A0A1I6PHC2|1__10|SGB7706
SRR33750943.6453824__1.6364624	UniClust90_EJAHAFID04236|1__5|SGB130007
SRR33750943.6453691__1.6364495	UniClust90_AGBJGNAA00277|1__8|SGB74789
SRR33750943.6454468__1.6365256	UniClust90_DIBLBONP01570|1__6|SGB84078
SRR33750943.6455643__1.6366411	UniClust90_NOMIGGEC01820|1__15|SGB125949
SRR33750943.6455717__1.6366485	UniClust90_GPNFBALK01384|1__11|SGB52730
SRR33750943.6456431__1.6367180	UniRef90_A0A2C1Z847|1__12|SGB7578
SRR33750943.6458384__1.6369109	UniClust90_JEHCBLFF00955|1__4|SGB74789
SRR33750943.6459477__1.6370181	UniClust90_OCJAPFEA04909|1__14|SGB125949
SRR33750943.6461364__1.6372034	UniRef90_A0A2V6V430|4__7|SGB73551
SRR33750943.6462450__1.6373096	UniClust90_CEIBDEKO02319|5__12|SGB133121
SRR33750943.6462795__1.6373433	UniClust90_OALLKAFI01259|1__7|SGB84078
SRR33750943.6463753__1.6374376	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750943.6464447__1.6375059	UniClust90_BJEHKANM03465|1__7|SGB89410
SRR33750943.6464729__1.6375336	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750943.6464772__1.6375377	UniClust90_OALLKAFI02488|1__3|SGB84078
SRR33750943.6467353__1.6377927	UniClust90_KPGCMLFP03166|1__9|SGB89408
SRR33750943.6470395__1.6380906	UniRef90_A0A1Q7B9Y6|2__6|SGB56640
SRR33750943.6471683__1.6382178	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750943.6474706__1.6385141	UniClust90_FNPCGKEP04824|1__7|SGB84078
SRR33750943.6475028__1.6385459	VDB|0019-0001-0-0000|MV367-c172-c0-c0
