SRR33750947.51__1.51	UniRef90_UPI0004982413|1__12|SGB31998
SRR33750947.2738336__1.2705857	UniClust90_DAODNPOA01891|1__8|SGB89725
SRR33750947.2738485__1.2706005	UniClust90_ICLCAGBO02859|1__5|SGB131913
SRR33750947.2738656__1.2706175	UniClust90_LLIEHLNH03282|1__7|SGB130007
SRR33750947.2739420__1.2706934	UniClust90_CGOBHFMA02306|1__16|SGB126057
SRR33750947.2739355__1.2706869	UniClust90_CGOBHFMA02306|1__16|SGB126057
SRR33750947.2739637__1.2707150	UniRef90_A0A1Q7B7X3|1__3|SGB73517
SRR33750947.2739989__1.2707498	UniClust90_FNPCGKEP02777|8__11|SGB84078
SRR33750947.2740733__1.2708234	UniClust90_NOMIGGEC01038|1__12|SGB125949
SRR33750947.2740729__1.2708230	UniClust90_NOMIGGEC01038|1__12|SGB125949
SRR33750947.2741047__1.2708540	UniClust90_BOKHIPMC05974|1__10|SGB130007
SRR33750947.2741504__1.2708991	UniClust90_DJBDGBNB01296|2__5|SGB89725
SRR33750947.2741940__1.2709422	UniClust90_EDBNNBOB00318|1__5|SGB56640
SRR33750947.2742487__1.2709963	UniClust90_HGJNCPHJ01223|1__14|SGB125949
SRR33750947.2742572__1.2710047	UniClust90_GBLMBOPO00783|1__4|SGB133090
SRR33750947.2742840__1.2710310	UniClust90_MDILPPEF00559|1__3|SGB89423
SRR33750947.2743069__1.2710534	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750947.2743127__1.2710590	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750947.2743954__1.2711412	UniRef90_A0A1Q7BQQ4|1__5|SGB56640
SRR33750947.2744405__1.2711861	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750947.2745523__1.2712961	UniRef90_A0A1Q7B621|1__9|SGB56640
SRR33750947.2747665__1.2715080	UniRef90_A0A0U1NR16|1__21|SGB7574
SRR33750947.2747769__1.2715184	UniClust90_BDPFKHKJ07900|1__21|SGB93382
SRR33750947.2748830__1.2716224	UniClust90_HOMJAIDI01111|1__5|SGB89423
SRR33750947.2749534__1.2716919	UniClust90_DPJLILCC00590|1__24|SGB89725
SRR33750947.2751089__1.2718458	UniRef90_A0A2V6DMP5|3__17|SGB22169
SRR33750947.2751784__1.2719147	UniClust90_DPJLILCC00590|1__24|SGB89725
SRR33750947.2752103__1.2719463	UniClust90_HGJNCPHJ01067|1__15|SGB125949
SRR33750947.2754814__1.2722146	UniClust90_NOMIGGEC00868|1__15|SGB125949
SRR33750947.2754888__1.2722219	UniClust90_NOMIGGEC00868|1__15|SGB125949
SRR33750947.2754907__1.2722238	UniClust90_OPLEJCPF04120|1__8|SGB125949
SRR33750947.2755005__1.2722336	UniRef90_A0A2V5SNR7|5__9|SGB52719
SRR33750947.2755505__1.2722834	UniClust90_OPLEJCPF00147|1__22|SGB125949
SRR33750947.2755482__1.2722811	UniRef90_A0A1Q7BJF2|1__4|SGB56640
SRR33750947.2754931__1.2722262	UniClust90_BOKHIPMC00669|1__11|SGB130007
SRR33750947.2755824__1.2723148	UniRef90_A0A1Q7BJF2|1__4|SGB56640
SRR33750947.2755860__1.2723184	UniClust90_CAGCLOCO00696|7__13|SGB89423
SRR33750947.2755968__1.2723292	UniClust90_AICCGNAA01630|1__12|SGB129206
SRR33750947.2756225__1.2723548	UniClust90_MGMMBNFB03337|1__4|SGB130045
SRR33750947.2756345__1.2723667	UniClust90_NHHHKJJE03728|1__12|SGB125949
SRR33750947.2755926__1.2723250	UniClust90_EDPJDPJO01883|1__7|SGB125699
SRR33750947.2756759__1.2724075	UniClust90_LLIEHLNH02640|1__5|SGB130007
SRR33750947.2757301__1.2724609	UniRef90_A0A1Q7GAD3|1__9|SGB17587
SRR33750947.2758424__1.2725716	UniClust90_DEHNPGMG01235|1__3|SGB89423
SRR33750947.2758902__1.2726186	UniClust90_IMMCPGKG00744|1__10|SGB128778
SRR33750947.2759020__1.2726304	UniRef90_A0A2V5SME6|1__4|SGB52719
SRR33750947.2759106__1.2726390	UniClust90_DJBDGBNB03404|10__17|SGB89725
SRR33750947.2759615__1.2726891	UniClust90_BKIEHKJF01709|1__5|SGB131913
SRR33750947.2759885__1.2727156	UniClust90_IOFPBIHC02046|1__12|SGB130007
SRR33750947.2762542__1.2729789	UniClust90_HGJNCPHJ05057|1__8|SGB125949
SRR33750947.2764136__1.2731361	UniClust90_FNPCGKEP00614|1__6|SGB84078
SRR33750947.2764350__1.2731575	UniRef90_A0A1G4TKV9|1__8|SGB7366
SRR33750947.2764804__1.2732021	UniClust90_DPJLILCC00136|1__18|SGB89725
SRR33750947.2765729__1.2732932	UniClust90_EFEMIJHI01076|1__8|SGB89423
SRR33750947.2765764__1.2732967	UniClust90_AOMEFECO01486|1__4|SGB133090
SRR33750947.2766008__1.2733206	UniClust90_DIAGDOFC00777|2__21|SGB127197
SRR33750947.2766314__1.2733510	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750947.2770979__1.2738116	UniClust90_LJMOGHMP00580|1__13|SGB128778
SRR33750947.2771098__1.2738234	UniClust90_DPLIHBNC00378|1__6|SGB89725
SRR33750947.2771647__1.2738774	UniClust90_GBLMBOPO01026|4__7|SGB133090
SRR33750947.2773477__1.2740578	UniClust90_OJFAJFEC00108|1__6|SGB89423
SRR33750947.2774522__1.2741617	UniClust90_CINAEBDE01078|1__3|SGB89423
SRR33750947.2774984__1.2742068	UniClust90_NOMIGGEC00876|1__9|SGB125949
SRR33750947.2775554__1.2742632	UniClust90_DNDKJDFN00657|1__4|SGB122461
SRR33750947.2775076__1.2742159	UniClust90_OALLKAFI02536|2__7|SGB84078
SRR33750947.2776559__1.2743629	UniClust90_FPGDCGCP01935|1__4|SGB89423
SRR33750947.2776709__1.2743778	UniRef90_A0A317JRT2|1__8|SGB23743
SRR33750947.2778399__1.2745454	UniClust90_PICJGFGP02349|1__4|SGB89423
SRR33750947.2779667__1.2746716	UniClust90_BOKHIPMC01249|1__5|SGB130007
SRR33750947.2779693__1.2746741	UniClust90_LJMOGHMP00294|1__12|SGB128778
SRR33750947.2779706__1.2746754	UniClust90_LJMOGHMP00294|1__12|SGB128778
SRR33750947.2779825__1.2746871	UniClust90_INNLFMKA00514|1__4|SGB122683
SRR33750947.2780747__1.2747780	UniClust90_JMFJJCJA05250|4__8|SGB130007
SRR33750947.2781080__1.2748110	UniClust90_GEHFPKBH04297|1__9|SGB84075
SRR33750947.2781697__1.2748716	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.2782317__1.2749327	UniClust90_NOMIGGEC01433|1__12|SGB125949
SRR33750947.2782974__1.2749975	UniClust90_HOMJAIDI01111|1__5|SGB89423
SRR33750947.2786233__1.2753187	UniClust90_EDNFDLAG02089|1__15|SGB84078
SRR33750947.2786476__1.2753427	UniClust90_JKONEDMA02815|1__9|SGB130007
SRR33750947.2787810__1.2754744	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750947.2788956__1.2755878	UniClust90_OCJAPFEA04975|1__10|SGB125949
SRR33750947.2789419__1.2756332	UniClust90_IOFPBIHC01413|1__6|SGB130007
SRR33750947.2789599__1.2756509	UniClust90_NHHHKJJE00160|1__13|SGB125949
SRR33750947.2790303__1.2757202	UniClust90_DAPCNGMP01703|1__3|SGB133334
SRR33750947.2790578__1.2757472	UniClust90_OOJLFJAP01027|1__6|SGB89423
SRR33750947.2790380__1.2757277	UniClust90_ALPEOPJM00390|1__15|SGB84331
SRR33750947.2792970__1.2759832	UniClust90_OPLEJCPF04282|1__12|SGB125949
SRR33750947.2793231__1.2760089	UniClust90_KIMNEABG03484|1__9|SGB131913
SRR33750947.2793814__1.2760664	UniRef90_A0A345ZSK1|1__9|SGB89408
SRR33750947.2793769__1.2760619	UniRef90_A0A345ZSK1|1__9|SGB89408
SRR33750947.2793855__1.2760705	UniClust90_JKBPNPFG02451|1__12|SGB109892
SRR33750947.2795415__1.2762238	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750947.2795707__1.2762528	UniClust90_KDDPKKIL03280|10__20|SGB128471
SRR33750947.2796708__1.2763516	UniClust90_KMEALJDO01893|2__6|SGB84078
SRR33750947.2796959__1.2763765	UniClust90_OCCAFAEL00709|1__4|SGB74789
SRR33750947.2798527__1.2765319	UniClust90_JKKHKAPH04722|1__9|SGB89408
SRR33750947.2799286__1.2766072	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750947.2799698__1.2766481	UniClust90_OPLEJCPF01349|1__11|SGB125949
SRR33750947.2800144__1.2766922	UniClust90_KMEALJDO03123|3__7|SGB84078
SRR33750947.2800327__1.2767104	UniClust90_KIHGAKFE02363|1__7|SGB128778
SRR33750947.2802726__1.2769480	UniClust90_EOFGAKMC01830|1__7|SGB84075
SRR33750947.2803412__1.2770159	UniClust90_BKDBJNDB01976|1__21|SGB132263
SRR33750947.2803431__1.2770178	UniClust90_CANGFCMM01342|1__4|SGB122683
SRR33750947.2804389__1.2771122	UniClust90_OOJLFJAP01027|1__6|SGB89423
SRR33750947.2804403__1.2771136	UniClust90_OOJLFJAP01027|1__6|SGB89423
SRR33750947.2805370__1.2772089	UniClust90_KIHGAKFE00306|1__7|SGB128778
SRR33750947.2807134__1.2773838	UniClust90_DJBDGBNB01635|1__6|SGB89725
SRR33750947.2807397__1.2774097	UniClust90_KMEALJDO00828|1__9|SGB84078
SRR33750947.2808640__1.2775321	UniClust90_OCJAPFEA01311|1__9|SGB125949
SRR33750947.2808793__1.2775472	UniClust90_OCCAFAEL00283|1__6|SGB74789
SRR33750947.2809497__1.2776166	UniClust90_OCCAFAEL00099|1__5|SGB74789
SRR33750947.2810025__1.2776691	UniClust90_EFEMIJHI01076|1__8|SGB89423
SRR33750947.2810328__1.2776988	UniClust90_BDGBANDJ00851|1__6|SGB127159
SRR33750947.2810653__1.2777311	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750947.2811620__1.2778268	UniClust90_IOFPBIHC00783|1__6|SGB130007
SRR33750947.2811535__1.2778184	UniClust90_OJGLOKOM02006|1__5|SGB84075
SRR33750947.2813091__1.2779722	UniClust90_JMJHPHJK00360|5__12|SGB134112
SRR33750947.2813775__1.2780399	UniRef90_A0A1Q7BQI0|1__7|SGB56640
SRR33750947.2814317__1.2780939	UniClust90_FNPCGKEP02920|4__10|SGB84078
SRR33750947.2815329__1.2781933	UniRef90_A0A1Q7B755|1__5|SGB56640
SRR33750947.2815648__1.2782245	UniClust90_EJAHAFID00758|1__6|SGB130007
SRR33750947.2815652__1.2782249	UniRef90_A0A2A8D067|1__19|SGB15517
SRR33750947.2816904__1.2783488	UniClust90_OPLEJCPF02386|1__11|SGB125949
SRR33750947.2817854__1.2784423	UniClust90_EJAHAFID04665|1__8|SGB130007
SRR33750947.2818494__1.2785059	UniClust90_IDPAEINK00446|1__5|SGB89725
SRR33750947.2819462__1.2786016	UniClust90_PPJAIDOO02680|1__7|SGB84075
SRR33750947.2819568__1.2786120	UniClust90_NOMIGGEC01433|1__12|SGB125949
SRR33750947.2819887__1.2786436	UniClust90_HEKDJKJG01210|1__11|SGB154112
SRR33750947.2820266__1.2786813	UniClust90_CMJGEBLA03651|1__9|SGB89408
SRR33750947.2820434__1.2786977	UniClust90_ICLCAGBO00366|1__6|SGB131913
SRR33750947.2822437__1.2788951	UniClust90_MKPDLIIB00220|1__6|SGB131913
SRR33750947.2822493__1.2789005	UniClust90_GJEIHIOJ01051|17__20|SGB122526
SRR33750947.2822568__1.2789078	UniClust90_NMMEDCHE01006|1__5|SGB89423
SRR33750947.2822732__1.2789239	UniClust90_OPLEJCPF01349|1__11|SGB125949
SRR33750947.2823111__1.2789617	UniClust90_AFLGNPJA01360|1__5|SGB122683
SRR33750947.2824694__1.2791182	UniClust90_ANDLCEDJ02263|1__9|SGB133091
SRR33750947.2824695__1.2791183	UniClust90_PBFDPDKB05728|1__18|SGB135184
SRR33750947.2825263__1.2791742	UniClust90_OAHKOOFD03207|5__9|SGB122526
SRR33750947.2832221__1.2798612	UniClust90_DPJLILCC01552|1__3|SGB89725
SRR33750947.2832376__1.2798766	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750947.2832366__1.2798756	UniClust90_BKMLPNMA00308|1__12|SGB89423
SRR33750947.2831853__1.2798253	UniRef90_A0A2V6AX30|1__9|SGB52714
SRR33750947.2833170__1.2799556	UniRef90_A0A0X3SER1|1__10|SGB16170
SRR33750947.2833647__1.2800026	UniClust90_IOFPBIHC01413|1__6|SGB130007
SRR33750947.2834028__1.2800402	UniClust90_GEHFPKBH01295|1__4|SGB84075
SRR33750947.2834733__1.2801094	UniClust90_IOFPBIHC04358|1__11|SGB130007
SRR33750947.2834299__1.2800667	UniClust90_NOMIGGEC03977|1__9|SGB125949
SRR33750947.2836102__1.2802451	UniClust90_HGJNCPHJ03635|1__9|SGB125949
SRR33750947.2837858__1.2804192	UniClust90_MEABCEIN00289|1__3|SGB84078
SRR33750947.2838926__1.2805246	UniClust90_BOKHIPMC05211|1__6|SGB130007
SRR33750947.2841763__1.2808047	UniClust90_JKONEDMA00395|1__7|SGB130007
SRR33750947.2842185__1.2808462	UniClust90_EJFOFLBH00374|1__3|SGB133091
SRR33750947.2842285__1.2808562	UniRef90_A0A1Q7BGM5|1__5|SGB73517
SRR33750947.2844719__1.2810972	UniClust90_JMFJJCJA04673|1__5|SGB130007
SRR33750947.2846930__1.2813157	UniClust90_OPLEJCPF03510|1__9|SGB125949
SRR33750947.2846761__1.2812991	UniClust90_HNBLJKFC01988|1__10|SGB128778
SRR33750947.2847873__1.2814090	UniClust90_LEJLODHJ01555|1__4|SGB89423
SRR33750947.2847556__1.2813776	UniClust90_EDNFDLAG02265|1__12|SGB84078
SRR33750947.2848527__1.2814740	UniClust90_DPHDLECE01054|1__6|SGB52714
SRR33750947.2849558__1.2815759	UniClust90_ALPEOPJM01110|1__5|SGB84331
SRR33750947.2849945__1.2816144	UniClust90_IAFJOFII00031|1__9|SGB134112
SRR33750947.2853007__1.2819173	UniClust90_PPJAIDOO03992|1__7|SGB84075
SRR33750947.2853131__1.2819295	UniClust90_JBMBCDML00149|1__6|SGB89725
SRR33750947.2853257__1.2819420	UniClust90_EIAMMEDP00330|1__5|SGB74789
SRR33750947.2853501__1.2819660	UniClust90_NHHHKJJE03336|1__11|SGB125949
SRR33750947.2853912__1.2820066	UniClust90_LLIEHLNH03364|1__5|SGB130007
SRR33750947.2854400__1.2820545	UniClust90_PPJAIDOO03506|1__6|SGB84075
SRR33750947.2854706__1.2820849	UniClust90_HOPPLHLN02164|1__10|SGB128471
SRR33750947.2854804__1.2820947	UniClust90_NOMIGGEC01377|1__10|SGB125949
SRR33750947.2854785__1.2820928	UniClust90_HNBLJKFC01988|1__10|SGB128778
SRR33750947.2855194__1.2821332	UniClust90_FIHOKOAF00146|1__3|SGB74789
SRR33750947.2856287__1.2822408	UniClust90_FNPCGKEP03938|1__6|SGB84078
SRR33750947.2856092__1.2822215	UniClust90_HGJNCPHJ02716|1__11|SGB125949
SRR33750947.2862138__1.2828197	UniClust90_DJBDGBNB01292|2__8|SGB89725
SRR33750947.2862754__1.2828807	UniRef90_UPI0006E407E9|1__11|SGB34616
SRR33750947.2862978__1.2829029	UniClust90_GFFNGEKC02985|4__8|SGB56640
SRR33750947.2863059__1.2829108	UniClust90_HMPPKHGP01444|1__8|SGB133091
SRR33750947.2863231__1.2829276	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750947.2863649__1.2829692	UniClust90_HGJNCPHJ04950|1__20|SGB125949
SRR33750947.2865032__1.2831057	UniClust90_DLOKBJPP00081|1__8|SGB131913
SRR33750947.2865226__1.2831250	UniClust90_PDHLMLHG04482|1__18|SGB133248
SRR33750947.2865583__1.2831600	UniRef90_UPI000994ADA5|1__9|SGB94420
SRR33750947.2865739__1.2831753	UniClust90_KIHGAKFE00601|1__10|SGB128778
SRR33750947.2866152__1.2832163	VDB|0052-004A-0-0000|MV133-c1345-c0-c5
SRR33750947.2865969__1.2831982	UniClust90_EJAHAFID03699|1__5|SGB130007
SRR33750947.2866496__1.2832505	UniClust90_GJBLDLDM02015|1__6|SGB89423
SRR33750947.2867898__1.2833891	UniClust90_BGMDAEJF02535|4__11|SGB122526
SRR33750947.2868187__1.2834178	UniClust90_AOMEFECO00927|11__17|SGB133090
SRR33750947.2868229__1.2834219	UniClust90_HGJNCPHJ00274|5__12|SGB125949
SRR33750947.2869569__1.2835544	UniClust90_IOFPBIHC00363|1__8|SGB130007
SRR33750947.2869749__1.2835722	UniClust90_OPLEJCPF02745|1__9|SGB125949
SRR33750947.2869942__1.2835914	UniClust90_AGJDNOHG01547|1__5|SGB89423
SRR33750947.2871094__1.2837048	UniClust90_MEABCEIN01365|1__6|SGB84078
SRR33750947.2871386__1.2837339	UniClust90_DNAEAMOK00059|1__11|SGB180147
SRR33750947.2872820__1.2838760	UniClust90_CBDIOHJF00730|1__10|SGB89725
SRR33750947.2873088__1.2839027	UniClust90_NMMEDCHE01006|1__5|SGB89423
SRR33750947.2874316__1.2840244	UniClust90_CBDIOHJF00730|1__10|SGB89725
SRR33750947.2875862__1.2841775	UniRef90_A0A2V6FH88|1__14|SGB22169
SRR33750947.2876283__1.2842193	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750947.2877464__1.2843365	UniClust90_FNPCGKEP04478|1__6|SGB84078
SRR33750947.2877658__1.2843558	UniClust90_MADMLNLG01808|1__6|SGB89423
SRR33750947.2878945__1.2844837	UniClust90_ANDLCEDJ01036|1__4|SGB133091
SRR33750947.2880362__1.2846240	UniClust90_CMJGEBLA00550|1__9|SGB89408
SRR33750947.2879870__1.2845753	UniClust90_COMJOMMO01891|1__7|SGB132736
SRR33750947.2882880__1.2848727	UniClust90_JJIPPMBI00451|2__5|SGB133090
SRR33750947.2883361__1.2849204	UniClust90_BOKHIPMC05974|1__10|SGB130007
SRR33750947.2884551__1.2850388	UniClust90_BGDHDLNA04274|1__17|SGB84075
SRR33750947.2885508__1.2851337	UniClust90_AAOKJFJN00848|1__8|SGB128255
SRR33750947.2885525__1.2851354	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750947.2885983__1.2851804	UniClust90_GEHENAAJ00966|1__9|SGB74789
SRR33750947.2886368__1.2852184	UniClust90_PKNCJFOJ04636|1__9|SGB56640
SRR33750947.2886355__1.2852171	UniClust90_OOEGEEHK00302|1__16|SGB176433
SRR33750947.2887694__1.2853489	UniClust90_IBMDDACE01199|1__10|SGB128778
SRR33750947.2887882__1.2853676	UniClust90_OPLEJCPF02982|1__12|SGB125949
SRR33750947.2888194__1.2853981	UniClust90_JHNMEHIJ05018|1__8|SGB56640
SRR33750947.2888435__1.2854220	UniClust90_NOMIGGEC00979|1__9|SGB125949
SRR33750947.2890013__1.2855785	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750947.2890149__1.2855920	UniClust90_OAHKOOFD02347|1__4|SGB122526
SRR33750947.2890289__1.2856059	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750947.2890206__1.2855976	UniClust90_LLIEHLNH03282|1__7|SGB130007
SRR33750947.2890988__1.2856751	UniClust90_OPLEJCPF06363|1__10|SGB125949
SRR33750947.2891167__1.2856927	UniClust90_DIBLBONP01737|1__8|SGB84078
SRR33750947.2891550__1.2857308	UniClust90_EKCLMAKM00702|1__7|SGB89408
SRR33750947.2892816__1.2858563	UniClust90_OPLEJCPF02982|1__12|SGB125949
SRR33750947.2894251__1.2859978	UniClust90_DGNDJLCE02643|1__16|SGB125699
SRR33750947.2896470__1.2862180	UniClust90_GIMAHFHH02931|1__9|SGB89408
SRR33750947.2897223__1.2862927	UniClust90_IBMDDACE01328|1__8|SGB128778
SRR33750947.2897321__1.2863024	UniClust90_PEMFFBNE00680|1__7|SGB74789
SRR33750947.2899236__1.2864922	UniClust90_IIEDOAEF02264|1__12|SGB128218
SRR33750947.2899508__1.2865189	UniClust90_IDPAEINK00632|1__6|SGB89725
SRR33750947.2900601__1.2866279	UniClust90_EDNFDLAG02139|1__8|SGB84078
SRR33750947.2901336__1.2867010	UniClust90_BOKHIPMC04551|1__10|SGB130007
SRR33750947.2901476__1.2867147	UniClust90_MDONDNCB00053|1__5|SGB74789
SRR33750947.2902433__1.2868097	UniClust90_AKFNKKBB02142|1__11|SGB73712
SRR33750947.2902852__1.2868512	UniClust90_OPLEJCPF03224|1__11|SGB125949
SRR33750947.2906813__1.2872422	UniRef90_UPI00101C0577|1__14|SGB30169
SRR33750947.2908027__1.2873632	UniClust90_ICLCAGBO01454|1__6|SGB131913
SRR33750947.2908486__1.2874088	UniClust90_OPLEJCPF01349|1__11|SGB125949
SRR33750947.2909179__1.2874777	UniClust90_GLCCIAAD01567|1__3|SGB89423
SRR33750947.2909704__1.2875295	UniRef90_UPI00101CE145|1__18|SGB208241
SRR33750947.2909979__1.2875563	UniClust90_ENBABIAF00671|1__11|SGB128778
SRR33750947.2910200__1.2875780	UniClust90_JBMBCDML00329|1__5|SGB89725
SRR33750947.2911221__1.2876792	UniClust90_OFJFLJEC01638|1__4|SGB74789
SRR33750947.2911195__1.2876766	UniClust90_OFJFLJEC01638|1__4|SGB74789
SRR33750947.2911642__1.2877210	UniRef90_A0A2V6AQQ6|1__12|SGB52714
SRR33750947.2911802__1.2877367	UniRef90_D7C146|1__10|SGB16126
SRR33750947.2911784__1.2877349	UniClust90_CKAHGCJD01011|7__13|SGB89423
SRR33750947.2911917__1.2877482	UniClust90_EFEMIJHI00463|1__3|SGB89423
SRR33750947.2912881__1.2878443	UniClust90_BDGBANDJ02794|1__13|SGB127159
SRR33750947.2913318__1.2878876	UniClust90_OALLKAFI04015|1__5|SGB84078
SRR33750947.2913584__1.2879138	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750947.2913794__1.2879348	UniClust90_CHMIEHDJ03578|4__8|SGB56640
SRR33750947.2914344__1.2879890	UniRef90_A0A1Q7BHY6|1__8|SGB56640
SRR33750947.2915174__1.2880712	UniClust90_EHKFGODG01873|1__6|SGB134112
SRR33750947.2916129__1.2881661	UniRef90_A0A2V5SC80|1__4|SGB52719
SRR33750947.2917965__1.2883483	UniClust90_PLNJEBMN00268|6__10|SGB133091
SRR33750947.2918982__1.2884489	UniClust90_PKCJLHDA00360|1__9|SGB89408
SRR33750947.2919187__1.2884692	UniClust90_BGDHDLNA04275|1__9|SGB84075
SRR33750947.2921145__1.2886630	UniClust90_OBEJBAOE00597|1__21|SGB128218
SRR33750947.2921451__1.2886933	UniRef90_A0A1Q7B8W4|1__6|SGB56640
SRR33750947.2922637__1.2888108	UniClust90_DPLIHBNC01476|1__6|SGB89725
SRR33750947.2924675__1.2890127	UniClust90_NMMEDCHE00382|2__8|SGB89423
SRR33750947.2924919__1.2890366	UniClust90_OFEPGLCJ02488|1__23|SGB132218
SRR33750947.2924414__1.2889869	UniClust90_DJBDGBNB02806|1__5|SGB89725
SRR33750947.2924786__1.2890235	UniClust90_EHIAFBHG02202|1__10|SGB128778
SRR33750947.2925184__1.2890629	UniClust90_DEFNONOM00677|1__6|SGB56640
SRR33750947.2925393__1.2890837	UniClust90_NHDHPAHM00617|1__3|SGB129867
SRR33750947.2926603__1.2892038	UniClust90_DPJLILCC01391|1__9|SGB89725
SRR33750947.2928041__1.2893466	UniClust90_OJGLOKOM00755|1__5|SGB84075
SRR33750947.2928529__1.2893946	UniClust90_OPLEJCPF02167|1__8|SGB125949
SRR33750947.2928859__1.2894274	UniClust90_GEHFPKBH04296|1__4|SGB84075
SRR33750947.2928864__1.2894279	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750947.2929192__1.2894605	UniClust90_DPLIHBNC00784|1__9|SGB89725
SRR33750947.2929790__1.2895199	UniClust90_CBDIOHJF00730|1__10|SGB89725
SRR33750947.2930770__1.2896173	UniClust90_NMMIMHEL00038|1__6|SGB122683
SRR33750947.2930773__1.2896176	UniClust90_NMMIMHEL00038|1__6|SGB122683
SRR33750947.2931340__1.2896739	UniClust90_BOKHIPMC01922|1__17|SGB130007
SRR33750947.2931675__1.2897070	UniClust90_OBEJBAOE02816|1__10|SGB128218
SRR33750947.2931953__1.2897342	UniClust90_EJAHAFID00878|1__7|SGB130007
SRR33750947.2931990__1.2897379	UniClust90_DFFDBJFB00101|1__14|SGB125699
SRR33750947.2932435__1.2897817	UniClust90_PPJAIDOO02132|1__7|SGB84075
SRR33750947.2932490__1.2897872	UniClust90_IABCABEO02190|1__5|SGB74789
SRR33750947.2932992__1.2898373	UniClust90_MADMLNLG01413|1__5|SGB89423
SRR33750947.2933459__1.2898840	UniClust90_IDPAEINK02204|1__5|SGB89725
SRR33750947.2933647__1.2899027	UniClust90_JMFJJCJA05080|1__5|SGB130007
SRR33750947.2934362__1.2899734	UniClust90_DFFDBJFB00101|1__14|SGB125699
SRR33750947.2935900__1.2901261	UniClust90_MIFDONLI00107|1__6|SGB89423
SRR33750947.2936836__1.2902187	UniClust90_IJHKGIGD02339|1__8|SGB128471
SRR33750947.2938260__1.2903599	UniClust90_GDJDPMJB04089|1__20|SGB98360
SRR33750947.2938736__1.2904071	UniClust90_IAFJOFII00739|1__10|SGB134112
SRR33750947.2938711__1.2904046	UniClust90_OALLKAFI01276|1__7|SGB84078
SRR33750947.2940392__1.2905718	UniClust90_DCGKPBEE00800|1__5|SGB89423
SRR33750947.2940875__1.2906199	UniRef90_A0A1Q7BQI0|1__7|SGB56640
SRR33750947.2941090__1.2906411	UniClust90_ACDABMLJ00442|1__7|SGB133090
SRR33750947.2944125__1.2909427	UniClust90_LLIEHLNH01857|1__8|SGB130007
SRR33750947.2944221__1.2909523	UniClust90_DJBDGBNB00607|1__6|SGB89725
SRR33750947.2944363__1.2909665	UniClust90_OCJAPFEA00140|1__12|SGB125949
SRR33750947.2944721__1.2910018	UniClust90_DPJLILCC00535|1__15|SGB89725
SRR33750947.2946177__1.2911465	UniClust90_DAODNPOA02193|1__5|SGB89725
SRR33750947.2947046__1.2912332	UniClust90_EDNFDLAG02086|1__6|SGB84078
SRR33750947.2948229__1.2913508	UniClust90_EKCLMAKM04286|1__10|SGB89408
SRR33750947.2948352__1.2913628	UniClust90_MDONDNCB00539|1__4|SGB74789
SRR33750947.2949569__1.2914837	UniClust90_IJHKGIGD01454|1__7|SGB128471
SRR33750947.2950663__1.2915925	UniClust90_JMFJJCJA05250|4__8|SGB130007
SRR33750947.2952060__1.2917311	UniClust90_ECJDJDJB00161|1__20|SGB111534
SRR33750947.2953166__1.2918414	UniClust90_HFNDKKKP00452|1__8|SGB74789
SRR33750947.2953997__1.2919240	UniClust90_DPLIHBNC00540|1__6|SGB89725
SRR33750947.2954084__1.2919327	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750947.2954089__1.2919332	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750947.2954998__1.2920238	UniClust90_KDDPKKIL00898|1__13|SGB128471
SRR33750947.2956168__1.2921401	UniClust90_NOMIGGEC04479|1__13|SGB125949
SRR33750947.2956475__1.2921706	UniClust90_BOKHIPMC05973|1__9|SGB130007
SRR33750947.2957342__1.2922564	UniClust90_JBMBCDML01564|1__9|SGB89725
SRR33750947.2957365__1.2922587	UniClust90_IMMCPGKG02090|1__9|SGB128778
SRR33750947.2957786__1.2923005	UniRef90_A0A1Q7B865|1__5|SGB56640
SRR33750947.2957639__1.2922861	UniRef90_A0A1Q7B865|1__5|SGB56640
SRR33750947.2958830__1.2924038	UniClust90_ACDABMLJ00871|1__7|SGB133090
SRR33750947.2958689__1.2923898	UniClust90_KMEALJDO00828|1__9|SGB84078
SRR33750947.2959172__1.2924379	UniClust90_BOKHIPMC05241|1__6|SGB130007
